evaluate,wall_time,step,measure/reconstruction/error,measure/activation/mean,measure/activation/std,measure/parameters/W/mean,measure/parameters/b_h/mean,measure/parameters/b_v/mean,measure/reconstruction_1/hamming,details/measure/top-1/evaluate-0/train,details/measure/top-1/evaluate-0/validation,details/measure/top-1/evaluate-1/train,details/measure/top-1/evaluate-1/validation,details/measure/top-1/evaluate-2/train,details/measure/top-1/evaluate-2/validation,details/measure/top-1/evaluate-3/train,details/measure/top-1/evaluate-3/validation,details/measure/top-1/evaluate-4/train,details/measure/top-1/evaluate-4/validation,details/measure/top-1/evaluate-5/train,details/measure/top-1/evaluate-5/validation,measure/evaluate/top-1/train,measure/evaluate/top-1/validation,details/measure/top-5/evaluate-0/train,details/measure/top-5/evaluate-0/validation,details/measure/top-5/evaluate-1/train,details/measure/top-5/evaluate-1/validation,details/measure/top-5/evaluate-2/train,details/measure/top-5/evaluate-2/validation,details/measure/top-5/evaluate-3/train,details/measure/top-5/evaluate-3/validation,details/measure/top-5/evaluate-4/train,details/measure/top-5/evaluate-4/validation,details/measure/top-5/evaluate-5/train,details/measure/top-5/evaluate-5/validation,measure/evaluate/top-5/train,measure/evaluate/top-5/validation,measure/evaluate/Free/mean_free_energy_train,measure/evaluate/Free/mean_free_energy_validation,measure/evaluate/Free/ratio_mean_free_energy,measure/evaluate/Free/mean_free_energy_gap,measure/evaluate/Free/mean_free_energy_noisy,measure/evaluate/reconstruction/RMSE_train,measure/evaluate/reconstruction/RMSE_validation,kfold,kfold-intern,batch_size,class,visible_size,hidden_size,regularization,learning_rate,sampling_method,momentum,path
12,1553328106.0261521,1201,0.08899714052677155,5.88194465637207,5.406201362609863,-0.021450940519571304,-0.4115928113460541,-2.191577672958374,2.65625,0.27893519401550293,0.12471131980419159,0.3368055522441864,0.15704387426376343,0.3263888955116272,0.1593533456325531,0.30787035822868347,0.14318706095218658,0.47164350748062134,0.3210161626338959,0.5532407164573669,0.42956119775772095,0.37914738059043884,0.22247883677482605,0.46238425374031067,0.22401846945285797,0.6660879850387573,0.3648960590362549,0.6556712985038757,0.37644341588020325,0.6082175970077515,0.3348729908466339,0.6961805820465088,0.49191686511039734,0.7355324029922485,0.5612009167671204,0.6373456716537476,0.3922247886657715,-507.3984375,-502.6357116699219,0.9906134605407715,36.145111083984375,-466.4906005859375,0.05808711424469948,0.0664854645729065,0,0,64,RBM,702,1000,NoRegularization-0.0,Adam-0.02-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBM/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.02-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553326525.19484/events.out.tfevents.1553326528.paulo-notebook
13,1553328236.1350722,1301,0.08555424958467484,5.949652671813965,5.010778427124023,-0.022038711234927177,-0.3756576478481293,-2.309495210647583,2.5486111640930176,0.28240740299224854,0.09930715709924698,0.37442129850387573,0.14318706095218658,0.35879629850387573,0.15242494642734528,0.3402777910232544,0.1501154750585556,0.47106480598449707,0.2655889093875885,0.5596064925193787,0.4133949279785156,0.39776235818862915,0.20400308072566986,0.4548611044883728,0.21709007024765015,0.6788194179534912,0.3556582033634186,0.6684027910232544,0.35103926062583923,0.6417824029922485,0.34180137515068054,0.7100694179534912,0.46420323848724365,0.7291666865348816,0.5473440885543823,0.6471836566925049,0.3795227110385895,-521.7156982421875,-516.2386474609375,0.9895018339157104,36.899261474609375,-479.3393859863281,0.05425260215997696,0.06521554291248322,0,0,64,RBM,702,1000,NoRegularization-0.0,Adam-0.02-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBM/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.02-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553326525.19484/events.out.tfevents.1553326528.paulo-notebook
14,1553328365.8712249,1401,0.08158885687589645,6.095486164093018,4.978725910186768,-0.022711072117090225,-0.3591168224811554,-2.4373717308044434,2.390625,0.3038194477558136,0.0969976931810379,0.40567129850387573,0.13163971900939941,0.3802083432674408,0.14318706095218658,0.36168980598449707,0.15473441779613495,0.3715277910232544,0.15242494642734528,0.5665509104728699,0.40184757113456726,0.39824458956718445,0.18013857305049896,0.49537035822868347,0.20554272830486298,0.7170138955116272,0.3464203178882599,0.6932870149612427,0.3648960590362549,0.6701388955116272,0.3348729908466339,0.6394675970077515,0.3879907727241516,0.7152777910232544,0.5334873199462891,0.6550925970077515,0.3622016906738281,-529.3333129882812,-523.1818237304688,0.9883788228034973,38.683258056640625,-484.4985656738281,0.04960775375366211,0.06324242055416107,0,0,64,RBM,702,1000,NoRegularization-0.0,Adam-0.02-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBM/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.02-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553326525.19484/events.out.tfevents.1553326528.paulo-notebook
15,1553328496.1053145,1501,0.07747916132211685,6.008101940155029,4.181650161743164,-0.02354895882308483,-0.33399346470832825,-2.576892375946045,2.283564805984497,0.30844905972480774,0.07852193713188171,0.4375,0.14780600368976593,0.42592594027519226,0.1501154750585556,0.3958333432674408,0.13856813311576843,0.41087964177131653,0.18244802951812744,0.5642361044883728,0.40184757113456726,0.42380401492118835,0.183217853307724,0.4913194477558136,0.19168591499328613,0.7320601940155029,0.3464203178882599,0.7146990895271301,0.33949190378189087,0.6921296119689941,0.3441108465194702,0.6649305820465088,0.3879907727241516,0.7146990895271301,0.5127021074295044,0.6683063507080078,0.353733628988266,-540.3901977539062,-533.6642456054688,0.9875535368919373,41.165008544921875,-492.4992370605469,0.04577120393514633,0.06217430159449577,0,0,64,RBM,702,1000,NoRegularization-0.0,Adam-0.02-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBM/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.02-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553326525.19484/events.out.tfevents.1553326528.paulo-notebook
16,1553328625.4158523,1601,0.07212308049201965,5.934027671813965,3.796574831008911,-0.024405749514698982,-0.32043346762657166,-2.720660924911499,2.116319417953491,0.29571759700775146,0.07390300184488297,0.4409722089767456,0.13856813311576843,0.4340277910232544,0.13856813311576843,0.4010416567325592,0.13856813311576843,0.4184027910232544,0.16397228837013245,0.5717592835426331,0.3903002440929413,0.4269868731498718,0.1739799827337265,0.4913194477558136,0.18475750088691711,0.7471064925193787,0.33025404810905457,0.71875,0.33949190378189087,0.6909722089767456,0.31408774852752686,0.6631944179534912,0.3903002440929413,0.7152777910232544,0.5034642219543457,0.6711034178733826,0.34372594952583313,-545.99755859375,-538.5867919921875,0.9864271283149719,41.88311767578125,-496.70367431640625,0.04127447307109833,0.060632623732089996,0,0,64,RBM,702,1000,NoRegularization-0.0,Adam-0.02-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBM/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.02-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553326525.19484/events.out.tfevents.1553326528.paulo-notebook
17,1553328753.9231975,1701,0.06833153963088989,6.039351940155029,3.720672845840454,-0.025282010436058044,-0.3051530718803406,-2.86429500579834,1.9513888359069824,0.33738425374031067,0.08775981515645981,0.47337964177131653,0.13625866174697876,0.45254629850387573,0.11085450649261475,0.41956019401550293,0.15473441779613495,0.38831019401550293,0.12009237706661224,0.5821759104728699,0.3879907727241516,0.4422260820865631,0.16628175973892212,0.5109953880310059,0.20785219967365265,0.7581018805503845,0.3117782771587372,0.7210648059844971,0.3002309501171112,0.7146990895271301,0.3279445767402649,0.6001157164573669,0.3210161626338959,0.7089120149612427,0.5034642219543457,0.6689814925193787,0.32871440052986145,-552.7042846679688,-544.4539794921875,0.9850728511810303,42.3494873046875,-502.1044921875,0.03673919662833214,0.05925866216421127,0,0,64,RBM,702,1000,NoRegularization-0.0,Adam-0.02-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBM/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.02-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553326525.19484/events.out.tfevents.1553326528.paulo-notebook
18,1553328881.8027132,1801,0.06448967009782791,6.056134223937988,3.255528688430786,-0.02620084397494793,-0.2997739315032959,-3.00911808013916,1.841435194015503,0.32175925374031067,0.05773672088980675,0.48668980598449707,0.1408776044845581,0.49594905972480774,0.12240184843540192,0.44560185074806213,0.14318706095218658,0.40335649251937866,0.1408776044845581,0.5920138955116272,0.39491915702819824,0.457561731338501,0.1666666716337204,0.4774305522441864,0.17090068757534027,0.7714120149612427,0.32332563400268555,0.7540509104728699,0.3117782771587372,0.7233796119689941,0.3348729908466339,0.6221064925193787,0.3371824622154236,0.7199074029922485,0.49191686511039734,0.6780478358268738,0.328329473733902,-556.6278686523438,-547.6918334960938,0.9839461445808411,44.60125732421875,-503.090576171875,0.03233417868614197,0.057538192719221115,0,0,64,RBM,702,1000,NoRegularization-0.0,Adam-0.02-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBM/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.02-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553326525.19484/events.out.tfevents.1553326528.paulo-notebook
19,1553329010.4409375,1901,0.06085941568017006,6.001736164093018,2.7262699604034424,-0.02720622904598713,-0.2794208228588104,-3.160828113555908,1.6956018209457397,0.31481480598449707,0.06004618853330612,0.5098379850387573,0.1408776044845581,0.5046296119689941,0.1339491903781891,0.44386574625968933,0.12471131980419159,0.40162035822868347,0.14780600368976593,0.5850694179534912,0.37644341588020325,0.459973007440567,0.16397228837013245,0.44328704476356506,0.13625866174697876,0.7662037014961243,0.33256351947784424,0.7615740895271301,0.3071593642234802,0.7025462985038757,0.2909930646419525,0.6371527910232544,0.35103926062583923,0.7193287014961243,0.4849884510040283,0.6716821193695068,0.3171670436859131,-564.7050170898438,-555.0723266601562,0.9829421043395996,45.386810302734375,-509.6855163574219,0.02853780798614025,0.056860510259866714,0,0,64,RBM,702,1000,NoRegularization-0.0,Adam-0.02-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBM/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.02-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553326525.19484/events.out.tfevents.1553326528.paulo-notebook
20,1553329138.5459652,2001,0.05591054633259773,5.9571757316589355,2.392843246459961,-0.028248528018593788,-0.27468112111091614,-3.3116493225097656,1.5254629850387573,0.32523149251937866,0.05542725324630737,0.5185185074806213,0.11778291314840317,0.5300925970077515,0.13625866174697876,0.49942129850387573,0.13856813311576843,0.40740740299224854,0.12933024764060974,0.5943287014961243,0.3648960590362549,0.4791666567325592,0.15704387426376343,0.44907405972480774,0.14780600368976593,0.7754629850387573,0.31639721989631653,0.7760416865348816,0.2933025360107422,0.7505787014961243,0.3279445767402649,0.6041666865348816,0.33025404810905457,0.7199074029922485,0.47575056552886963,0.6792052388191223,0.3152424991130829,-567.68603515625,-557.2783813476562,0.9816665053367615,46.665191650390625,-510.6131896972656,0.024901771917939186,0.05558357760310173,0,0,64,RBM,702,1000,NoRegularization-0.0,Adam-0.02-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBM/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.02-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553326525.19484/events.out.tfevents.1553326528.paulo-notebook
21,1553329267.8726797,2101,0.0522758774459362,6.078125,1.9863733053207397,-0.0292869471013546,-0.2597312331199646,-3.4587903022766113,1.3738425970077515,0.3263888955116272,0.06004618853330612,0.5329861044883728,0.12471131980419159,0.5486111044883728,0.13625866174697876,0.49074074625968933,0.14318706095218658,0.39178240299224854,0.12702079117298126,0.5885416865348816,0.36951500177383423,0.47984182834625244,0.16012316942214966,0.453125,0.15242494642734528,0.7806712985038757,0.30484989285469055,0.7771990895271301,0.2909930646419525,0.7303240895271301,0.3002309501171112,0.6186342835426331,0.3071593642234802,0.7233796119689941,0.48267897963523865,0.6805555820465088,0.30638954043388367,-574.5567016601562,-563.1905517578125,0.9802175164222717,48.01715087890625,-515.1734008789062,0.021105268970131874,0.054424989968538284,0,0,64,RBM,702,1000,NoRegularization-0.0,Adam-0.02-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBM/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.02-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553326525.19484/events.out.tfevents.1553326528.paulo-notebook
22,1553329396.9909465,2201,0.04897014796733856,6.037615776062012,1.8625890016555786,-0.030312160030007362,-0.2579854130744934,-3.6027519702911377,1.2557870149612427,0.3350694477558136,0.06928406655788422,0.5410879850387573,0.12702079117298126,0.5688657164573669,0.1154734417796135,0.5092592835426331,0.13163971900939941,0.40046295523643494,0.12471131980419159,0.5989583134651184,0.37644341588020325,0.4922839403152466,0.1574287861585617,0.45949074625968933,0.13625866174697876,0.7997685074806213,0.32332563400268555,0.7980324029922485,0.3094688355922699,0.7170138955116272,0.28868359327316284,0.5960648059844971,0.29792147874832153,0.7239583134651184,0.487297922372818,0.6823881268501282,0.3071593642234802,-575.825439453125,-563.9177856445312,0.9793207049369812,48.6495361328125,-515.2682495117188,0.018066294491291046,0.053008392453193665,0,0,64,RBM,702,1000,NoRegularization-0.0,Adam-0.02-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBM/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.02-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553326525.19484/events.out.tfevents.1553326528.paulo-notebook
