evaluate,wall_time,step,measure/reconstruction/hamming,details/measure/top-1/evaluate-0/train,details/measure/top-1/evaluate-0/validation,details/measure/top-1/evaluate-1/train,details/measure/top-1/evaluate-1/validation,details/measure/top-1/evaluate-2/train,details/measure/top-1/evaluate-2/validation,details/measure/top-1/evaluate-3/train,details/measure/top-1/evaluate-3/validation,details/measure/top-1/evaluate-4/train,details/measure/top-1/evaluate-4/validation,details/measure/top-1/evaluate-5/train,details/measure/top-1/evaluate-5/validation,measure/evaluate/top-1/train,measure/evaluate/top-1/validation,details/measure/top-5/evaluate-0/train,details/measure/top-5/evaluate-0/validation,details/measure/top-5/evaluate-1/train,details/measure/top-5/evaluate-1/validation,details/measure/top-5/evaluate-2/train,details/measure/top-5/evaluate-2/validation,details/measure/top-5/evaluate-3/train,details/measure/top-5/evaluate-3/validation,details/measure/top-5/evaluate-4/train,details/measure/top-5/evaluate-4/validation,details/measure/top-5/evaluate-5/train,details/measure/top-5/evaluate-5/validation,measure/evaluate/top-5/train,measure/evaluate/top-5/validation,measure/evaluate/Free/mean_free_energy_train,measure/evaluate/Free/mean_free_energy_validation,measure/evaluate/Free/ratio_mean_free_energy,measure/evaluate/Free/mean_free_energy_gap,measure/evaluate/Free/mean_free_energy_noisy,measure/evaluate/reconstruction/RMSE_train,measure/evaluate/reconstruction/RMSE_validation,kfold,kfold-intern,batch_size,class,visible_size,hidden_size,regularization,learning_rate,sampling_method,momentum,path
19,1557084348.675876,20,2.994938611984253,0.407086044549942,0.41040462255477905,0.13955169916152954,0.12138728052377701,0.17208966612815857,0.161849707365036,0.27042660117149353,0.338150292634964,0.4208242893218994,0.3988439440727234,0.5394070744514465,0.5635837912559509,0.32489755749702454,0.33236995339393616,0.5950831770896912,0.5780346989631653,0.3781634271144867,0.3352601230144501,0.3919016718864441,0.37283235788345337,0.4678235650062561,0.5057803392410278,0.6211135387420654,0.6069363951683044,0.7512653470039368,0.7398843765258789,0.5342251062393188,0.5231214165687561,3.326354503631592,4.16054630279541,1.2507826089859009,19.27197265625,23.432518005371094,0.07797347009181976,0.07747450470924377,1,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=1/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084139.0567567/events.out.tfevents.1557084145.paulo-notebook
20,1557084356.8272023,21,3.00144624710083,0.42010122537612915,0.43352600932121277,0.16268980503082275,0.1589595377445221,0.1757049858570099,0.15606936812400818,0.27187272906303406,0.31213873624801636,0.4287780225276947,0.41040462255477905,0.5582067966461182,0.5664739608764648,0.33622559905052185,0.33959537744522095,0.597252368927002,0.6069363951683044,0.3955169916152954,0.32658958435058594,0.40202459692955017,0.3757225573062897,0.4772234261035919,0.49421966075897217,0.6290672421455383,0.6040462255477905,0.7534345388412476,0.7427745461463928,0.5424198508262634,0.5250481963157654,3.1191201210021973,4.050498962402344,1.2986030578613281,19.873470306396484,23.923969268798828,0.07731043547391891,0.07687871158123016,1,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=1/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084139.0567567/events.out.tfevents.1557084145.paulo-notebook
21,1557084366.709175,22,2.9768619537353516,0.4135936498641968,0.4161849617958069,0.17787419259548187,0.14739884436130524,0.18221257627010345,0.17630058526992798,0.26970353722572327,0.3352601230144501,0.4468546509742737,0.43352600932121277,0.5502530932426453,0.5780346989631653,0.34008195996284485,0.3477841913700104,0.5986984968185425,0.6011560559272766,0.40997830033302307,0.34682080149650574,0.40636298060417175,0.3786127269268036,0.4909616708755493,0.5057803392410278,0.636297881603241,0.5953757166862488,0.7584960460662842,0.7341040372848511,0.5501325726509094,0.5269749760627747,3.388331174850464,4.328456878662109,1.2774598598480225,20.02747917175293,24.35593605041504,0.07704653590917587,0.07667292654514313,1,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=1/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084139.0567567/events.out.tfevents.1557084145.paulo-notebook
22,1557084377.8631015,23,2.9710774421691895,0.42010122537612915,0.4393063485622406,0.18582791090011597,0.14739884436130524,0.18799710273742676,0.17341040074825287,0.2711496651172638,0.2803468108177185,0.4309472143650055,0.4190751314163208,0.5610990524291992,0.560693621635437,0.34285369515419006,0.33670520782470703,0.6008676886558533,0.5924855470657349,0.41576284170150757,0.36705201864242554,0.4114244282245636,0.3959537446498871,0.4830079674720764,0.49421966075897217,0.64786696434021,0.5982658863067627,0.7505422830581665,0.7398843765258789,0.55157870054245,0.5313102006912231,3.4822025299072266,4.361177444458008,1.2524192333221436,19.799623489379883,24.16080093383789,0.0768190249800682,0.07636155933141708,1,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=1/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084139.0567567/events.out.tfevents.1557084145.paulo-notebook
23,1557084389.4124506,24,2.952277660369873,0.4229934811592102,0.43063583970069885,0.18076644837856293,0.1416184902191162,0.1930585652589798,0.16763006150722504,0.2805495262145996,0.3352601230144501,0.44540852308273315,0.4161849617958069,0.5545914769172668,0.5751445293426514,0.3462280035018921,0.34441232681274414,0.6066522002220154,0.5982658863067627,0.42227041721343994,0.3554913401603699,0.4128705859184265,0.3757225573062897,0.501807689666748,0.5144508481025696,0.6550976037979126,0.615606963634491,0.7584960460662842,0.7312138676643372,0.5595324039459229,0.5317919254302979,2.693511724472046,3.7215349674224854,1.3816665410995483,20.79305076599121,24.514585494995117,0.0765191912651062,0.07610555738210678,1,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=1/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084139.0567567/events.out.tfevents.1557084145.paulo-notebook
24,1557084401.9202151,25,3.011569023132324,0.4273318946361542,0.4364161789417267,0.17715111374855042,0.1387283205986023,0.18872016668319702,0.15028901398181915,0.2812725901603699,0.2976878583431244,0.44757771492004395,0.424855500459671,0.5459146499633789,0.5578034520149231,0.3446613550186157,0.33429673314094543,0.6059291362762451,0.5953757166862488,0.42805495858192444,0.34971097111701965,0.40853217244148254,0.34682080149650574,0.49023860692977905,0.48843929171562195,0.6543745398521423,0.6011560559272766,0.7433116436004639,0.7138728499412537,0.5550734996795654,0.5158959627151489,2.8968300819396973,4.010216236114502,1.38434636592865,20.158784866333008,24.16900062561035,0.07636114954948425,0.0760112926363945,1,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=1/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084139.0567567/events.out.tfevents.1557084145.paulo-notebook
25,1557084412.537404,26,2.958062171936035,0.42805495858192444,0.41329479217529297,0.18944324553012848,0.1387283205986023,0.19595083594322205,0.1791907548904419,0.28705713152885437,0.32947975397109985,0.43745481967926025,0.4046242833137512,0.5668835639953613,0.560693621635437,0.35080742835998535,0.33766859769821167,0.6095444560050964,0.5953757166862488,0.42227041721343994,0.3612716794013977,0.4208242893218994,0.3815028965473175,0.509761393070221,0.5057803392410278,0.6594359874725342,0.5953757166862488,0.7570499181747437,0.7254335284233093,0.5631477236747742,0.5274566411972046,2.970383882522583,4.197336196899414,1.4130618572235107,20.30963706970215,24.506973266601562,0.07605476677417755,0.07581523805856705,1,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=1/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084139.0567567/events.out.tfevents.1557084145.paulo-notebook
26,1557084422.930644,27,2.9826464653015137,0.42227041721343994,0.4190751314163208,0.1851048469543457,0.13294798135757446,0.19739696383476257,0.17341040074825287,0.294287770986557,0.323699414730072,0.4208242893218994,0.3988439440727234,0.5357917547225952,0.5549132823944092,0.34261268377304077,0.3338150382041931,0.6124367117881775,0.5664739608764648,0.4410701394081116,0.37283235788345337,0.4251627027988434,0.38728323578834534,0.5083152651786804,0.5,0.6666666865348816,0.586705207824707,0.738250195980072,0.6965317726135254,0.565316915512085,0.5183044075965881,3.745940923690796,5.026276111602783,1.3417927026748657,19.573657989501953,24.599933624267578,0.07610471546649933,0.07593158632516861,1,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=1/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084139.0567567/events.out.tfevents.1557084145.paulo-notebook
27,1557084432.2725346,28,2.9595084190368652,0.42371654510498047,0.43063583970069885,0.19812002778053284,0.14450867474079132,0.2046276181936264,0.16763006150722504,0.2928416430950165,0.33236995339393616,0.4215473532676697,0.38728323578834534,0.535068690776825,0.5433526039123535,0.3459869921207428,0.33429673314094543,0.6080983281135559,0.5693641901016235,0.4266088306903839,0.3786127269268036,0.4244396388530731,0.38728323578834534,0.5068691372871399,0.49132949113845825,0.6514822840690613,0.5693641901016235,0.7541576027870178,0.7196531891822815,0.5619426369667053,0.5192677974700928,2.4591119289398193,3.8864831924438477,1.5804417133331299,20.3599853515625,24.246469497680664,0.07562899589538574,0.07549691200256348,1,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=1/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084139.0567567/events.out.tfevents.1557084145.paulo-notebook
28,1557084440.874857,29,2.9761388301849365,0.4287780225276947,0.4421965181827545,0.20390455424785614,0.1387283205986023,0.2104121446609497,0.17341040074825287,0.28199565410614014,0.2803468108177185,0.43962401151657104,0.41329479217529297,0.5661605000495911,0.560693621635437,0.35514581203460693,0.33477842807769775,0.6247288584709167,0.5751445293426514,0.43673175573349,0.37283235788345337,0.43745481967926025,0.3843930661678314,0.5177150964736938,0.49421966075897217,0.6630513668060303,0.5982658863067627,0.7592191100120544,0.736994206905365,0.5731501579284668,0.5269749760627747,2.6260557174682617,4.0320563316345215,1.5354039669036865,20.885173797607422,24.9172306060791,0.07541856914758682,0.07538759708404541,1,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=1/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084139.0567567/events.out.tfevents.1557084145.paulo-notebook
29,1557084449.5967584,30,2.953000783920288,0.4331164062023163,0.41329479217529297,0.20535068213939667,0.15317918360233307,0.20896601676940918,0.17341040074825287,0.28922632336616516,0.34971097111701965,0.4410701394081116,0.4161849617958069,0.5610990524291992,0.5578034520149231,0.356471449136734,0.3439306318759918,0.6146059036254883,0.5693641901016235,0.44179320335388184,0.3612716794013977,0.43745481967926025,0.3959537446498871,0.5198842883110046,0.5028901696205139,0.6724511981010437,0.5924855470657349,0.7548806667327881,0.7109826803207397,0.5735116600990295,0.5221579670906067,2.574092149734497,3.9787418842315674,1.5456874370574951,20.956480026245117,24.935222625732422,0.07528187334537506,0.0752270370721817,1,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=1/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084139.0567567/events.out.tfevents.1557084145.paulo-notebook
30,1557084458.138477,31,2.9276933670043945,0.4425162672996521,0.4364161789417267,0.2125813513994217,0.15606936812400818,0.21908894181251526,0.17630058526992798,0.28705713152885437,0.2861271798610687,0.42227041721343994,0.3988439440727234,0.5813449025154114,0.589595377445221,0.3608098328113556,0.3405587673187256,0.6160520315170288,0.586705207824707,0.4345625340938568,0.3641618490219116,0.44323933124542236,0.39017340540885925,0.5220534801483154,0.5,0.6652205586433411,0.5838150382041931,0.7823572158813477,0.7398843765258789,0.5772475004196167,0.5274566411972046,2.2471745014190674,3.6868772506713867,1.6406724452972412,21.178585052490234,24.865461349487305,0.07507866621017456,0.075135737657547,1,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=1/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084139.0567567/events.out.tfevents.1557084145.paulo-notebook
31,1557084466.6338785,32,2.947939157485962,0.4266088306903839,0.4219653308391571,0.20390455424785614,0.14739884436130524,0.21113520860671997,0.16763006150722504,0.28778019547462463,0.29190751910209656,0.4215473532676697,0.3959537446498871,0.5690527558326721,0.5693641901016235,0.3533381521701813,0.33236995339393616,0.6211135387420654,0.5664739608764648,0.4410701394081116,0.37283235788345337,0.4446854591369629,0.35260117053985596,0.5285611152648926,0.5057803392410278,0.6471439003944397,0.5838150382041931,0.7736803889274597,0.7283236980438232,0.5760424137115479,0.5183044075965881,1.9639588594436646,3.6598947048187256,1.8635292053222656,20.50527000427246,24.165164947509766,0.07483161240816116,0.07501081377267838,1,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=1/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084139.0567567/events.out.tfevents.1557084145.paulo-notebook
