,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_probability,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr
4,1,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",8.27503526210785,0.2984665632247925,4.98370623588562,0.9598398208618164,10000.0,linear,True,"{'C': 10000.0, 'kernel': 'linear', 'probability': True}",0.19949174078780177,0.226775956284153,0.21263989466754443,0.013633162266645746,2,0.9412568306010929,0.9479034307496823,0.9445801306753876,0.0033233000742947105,0.17473192595083972,0.21983478621661842,0.19646681318885814,0.02253664257912934,1,0.9559850660324544,0.9603770385302518,0.9581810522813531,0.002195986248898718,0.19949174078780177,0.226775956284153,0.21263989466754443,0.013633162266645746,2,0.9412568306010929,0.9479034307496823,0.9445801306753876,0.0033233000742947105,0.17359185535278362,0.2116710020881933,0.19194204324634512,0.019027088628906307,2,0.9418818544808978,0.9468616882936913,0.9443717713872946,0.002489916906396772,0.29273444135587173,0.3060864363226869,0.2991687141114403,0.0066716198598552896,2,0.4351131846885935,0.4055818233514904,0.42034750402004195,0.01476568066855155
5,1,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",8.14578378200531,0.6510099172592163,6.2487863302230835,0.11465609073638916,1000000.0,linear,True,"{'C': 1000000.0, 'kernel': 'linear', 'probability': True}",0.19949174078780177,0.226775956284153,0.21263989466754443,0.013633162266645746,2,0.9412568306010929,0.9479034307496823,0.9445801306753876,0.0033233000742947105,0.17473192595083972,0.21983478621661842,0.19646681318885814,0.02253664257912934,1,0.9559850660324544,0.9603770385302518,0.9581810522813531,0.002195986248898718,0.19949174078780177,0.226775956284153,0.21263989466754443,0.013633162266645746,2,0.9412568306010929,0.9479034307496823,0.9445801306753876,0.0033233000742947105,0.17359185535278362,0.2116710020881933,0.19194204324634512,0.019027088628906307,2,0.9418818544808978,0.9468616882936913,0.9443717713872946,0.002489916906396772,0.28699529836971754,0.303384417794498,0.29489314920509563,0.00818918632845969,4,0.4201027186571221,0.4031240615017021,0.4116133900794121,0.00848932857771001
0,2,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",3.9131335020065308,0.33818066120147705,5.143483996391296,0.52350914478302,1e-05,linear,True,"{'C': 1e-05, 'kernel': 'linear', 'probability': True}",0.09481668773704172,0.10164835164835165,0.09809084924292298,0.00341289282470671,5,0.10164835164835165,0.09481668773704172,0.09823251969269668,0.003415831955654966,0.008990204273423678,0.010332387392826953,0.009633462542630778,0.0006705141232241299,5,0.010332387392826953,0.008990204273423678,0.009661295833125316,0.0006710915597016379,0.09481668773704172,0.10164835164835165,0.09809084924292298,0.00341289282470671,5,0.10164835164835165,0.09481668773704172,0.09823251969269668,0.003415831955654966,0.016423213811265887,0.018758049930119754,0.017542213610163594,0.0011664135619596815,5,0.018758049930119754,0.016423213811265887,0.01759063187069282,0.0011674180594269338,0.2697019580700888,0.27020277854095054,0.2699419826275525,0.00025019477153151833,6,0.3112681802279528,0.2806529051109028,0.2959605426694278,0.015307637558524989
1,2,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",6.921055436134338,0.8084269762039185,6.2781665325164795,0.5774834156036377,0.01,linear,True,"{'C': 0.01, 'kernel': 'linear', 'probability': True}",0.09481668773704172,0.10164835164835165,0.09809084924292298,0.00341289282470671,5,0.10164835164835165,0.09481668773704172,0.09823251969269668,0.003415831955654966,0.008990204273423678,0.010332387392826953,0.009633462542630778,0.0006705141232241299,5,0.010332387392826953,0.008990204273423678,0.009661295833125316,0.0006710915597016379,0.09481668773704172,0.10164835164835165,0.09809084924292298,0.00341289282470671,5,0.10164835164835165,0.09481668773704172,0.09823251969269668,0.003415831955654966,0.016423213811265887,0.018758049930119754,0.017542213610163594,0.0011664135619596815,5,0.018758049930119754,0.016423213811265887,0.01759063187069282,0.0011674180594269338,0.2764097553041982,0.2806493736975832,0.2784416461471108,0.0021179852203097927,5,0.33753530684115063,0.3102745771718228,0.3239049420064867,0.013630364834663927
2,2,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",7.750270247459412,0.5679928064346313,4.8577563762664795,0.8118338584899902,1.0,linear,True,"{'C': 1.0, 'kernel': 'linear', 'probability': True}",0.1845764854614412,0.22527472527472528,0.20408163265306123,0.020331610635441394,1,0.9313186813186813,0.9380530973451328,0.934685889331907,0.0033672080132257087,0.14800091912369848,0.19820515810863235,0.17206193688606308,0.025080520532908927,1,0.9440751011320953,0.9567899139481026,0.950432507540099,0.006357406408003696,0.1845764854614412,0.22527472527472528,0.20408163265306123,0.020331610635441394,1,0.9313186813186813,0.9380530973451328,0.934685889331907,0.0033672080132257087,0.15481726383579714,0.19982953744632284,0.17638996639568041,0.022486771542548297,1,0.9314777024952903,0.9426042075374818,0.9370409550163861,0.005563252521095741,0.28972272190159104,0.3008961030761696,0.29507770642765635,0.0055818835547957,2,0.420790269461385,0.39554568959687275,0.40816797952912887,0.012622289932256114
3,2,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",7.762875199317932,0.9731069803237915,5.509588122367859,0.15257108211517334,100.0,linear,True,"{'C': 100.0, 'kernel': 'linear', 'probability': True}",0.17572692793931732,0.20054945054945056,0.18762343647136273,0.01240058211396993,2,0.9656593406593407,0.9633375474083439,0.9644984440338422,0.0011608966254983977,0.14811436709633177,0.18489734271255384,0.1657430743041064,0.01837566296903726,2,0.9753627969406387,0.9792341970645119,0.9772984970025753,0.0019357000619366072,0.17572692793931732,0.20054945054945056,0.18762343647136273,0.01240058211396993,2,0.9656593406593407,0.9633375474083439,0.9644984440338422,0.0011608966254983977,0.15304543096773346,0.18617112026687982,0.16892133735995107,0.01654859325491071,2,0.967016452493641,0.9681160941375934,0.9675662733156172,0.000549820821976188,0.2859868706230228,0.3007401216202229,0.29305755312859333,0.0073702783279610655,4,0.4198283542219315,0.4038999245753362,0.41186413939863387,0.00796421482329765
4,2,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",8.060123682022095,0.39418482780456543,4.783591389656067,0.9495164155960083,10000.0,linear,True,"{'C': 10000.0, 'kernel': 'linear', 'probability': True}",0.17572692793931732,0.20054945054945056,0.18762343647136273,0.01240058211396993,2,0.9656593406593407,0.9633375474083439,0.9644984440338422,0.0011608966254983977,0.14811436709633177,0.18489734271255384,0.1657430743041064,0.01837566296903726,2,0.9753627969406387,0.9792341970645119,0.9772984970025753,0.0019357000619366072,0.17572692793931732,0.20054945054945056,0.18762343647136273,0.01240058211396993,2,0.9656593406593407,0.9633375474083439,0.9644984440338422,0.0011608966254983977,0.15304543096773346,0.18617112026687982,0.16892133735995107,0.01654859325491071,2,0.967016452493641,0.9681160941375934,0.9675662733156172,0.000549820821976188,0.28989198486900913,0.2994810078585699,0.2944876456566327,0.004790386087764167,3,0.4238061233295354,0.39978505264315783,0.41179558798634663,0.01201053534318877
5,2,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",7.9095224142074585,1.0202471017837524,4.775061845779419,0.00727534294128418,1000000.0,linear,True,"{'C': 1000000.0, 'kernel': 'linear', 'probability': True}",0.17572692793931732,0.20054945054945056,0.18762343647136273,0.01240058211396993,2,0.9656593406593407,0.9633375474083439,0.9644984440338422,0.0011608966254983977,0.14811436709633177,0.18489734271255384,0.1657430743041064,0.01837566296903726,2,0.9753627969406387,0.9792341970645119,0.9772984970025753,0.0019357000619366072,0.17572692793931732,0.20054945054945056,0.18762343647136273,0.01240058211396993,2,0.9656593406593407,0.9633375474083439,0.9644984440338422,0.0011608966254983977,0.15304543096773346,0.18617112026687982,0.16892133735995107,0.01654859325491071,2,0.967016452493641,0.9681160941375934,0.9675662733156172,0.000549820821976188,0.2891434276213305,0.3039001873149903,0.2962157917141444,0.007372031166673109,1,0.42922814044283664,0.4028857577503838,0.41605694909661023,0.013171191346226407
0,3,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",3.6850441694259644,0.32732975482940674,4.531073212623596,0.31428682804107666,1e-05,linear,True,"{'C': 1e-05, 'kernel': 'linear', 'probability': True}",0.12706480304955528,0.1366120218579235,0.1316655694535879,0.004770479225509073,6,0.1366120218579235,0.12706480304955528,0.1318384124537394,0.004773609404184115,0.016145464174022274,0.01866284451610977,0.017358579651578592,0.0012578648154693204,6,0.01866284451610977,0.016145464174022274,0.017404154345066022,0.0012586901710437484,0.12706480304955528,0.1366120218579235,0.1316655694535879,0.004770479225509073,6,0.1366120218579235,0.12706480304955528,0.1318384124537394,0.004773609404184115,0.028650462919854628,0.032839428331231615,0.030669108529550453,0.0020931092994154873,6,0.032839428331231615,0.028650462919854628,0.03074494562554312,0.0020944827056884937,0.3402696933831595,0.36265059050611015,0.35105495782950574,0.011183110696039467,6,0.3953481473909283,0.3668785391843807,0.38111334328765445,0.014234804103273796
1,3,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",7.006335020065308,0.5559787750244141,6.28486430644989,0.35226213932037354,0.01,linear,True,"{'C': 0.01, 'kernel': 'linear', 'probability': True}",0.2020330368487929,0.22404371584699453,0.21263989466754443,0.01099812301444636,5,0.22404371584699453,0.20076238881829733,0.21240305233264595,0.011640663514348601,0.049414877444329014,0.0579260658027724,0.053516384935033794,0.0042528036764759615,5,0.056751494779835196,0.05024806534427296,0.05349978006205408,0.0032517147177811186,0.2020330368487929,0.22404371584699453,0.21263989466754443,0.01099812301444636,5,0.22404371584699453,0.20076238881829733,0.21240305233264595,0.011640663514348601,0.07879479262525575,0.09131133097468609,0.08482646219193318,0.006254165466377367,5,0.0900737103247554,0.07956971383010845,0.08482171207743193,0.005251998247323475,0.3485367444966757,0.3701876678580227,0.35897023751873364,0.010818363146539008,5,0.4233915343344157,0.3823920099720135,0.4028917721532146,0.020499762181201087
2,3,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",7.819748878479004,0.5242626667022705,4.686829090118408,0.6681697368621826,1.0,linear,True,"{'C': 1.0, 'kernel': 'linear', 'probability': True}",0.27064803049555275,0.28005464480874315,0.27518104015799866,0.00470022307691519,1,0.9549180327868853,0.9504447268106735,0.9526813797987794,0.0022366529881058805,0.22004512039283072,0.2177843866778014,0.21895568189421222,0.001129625646843078,4,0.9593957176463648,0.9533143699824735,0.9563550438144192,0.0030406738319456172,0.27064803049555275,0.28005464480874315,0.27518104015799866,0.00470022307691519,1,0.9549180327868853,0.9504447268106735,0.9526813797987794,0.0022366529881058805,0.22410361201874995,0.2326428955270232,0.22821865844933323,0.004266842040034089,1,0.9543145148797255,0.9493071308071691,0.9518108228434473,0.0025036920362782045,0.3632781058075255,0.38611199550256886,0.3742816655552356,0.011409458462635533,1,0.5250051745746954,0.4508009493994197,0.4879030619870576,0.03710211258763785
3,3,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",8.066196203231812,1.002634048461914,5.413087725639343,0.448921799659729,100.0,linear,True,"{'C': 100.0, 'kernel': 'linear', 'probability': True}",0.2630241423125794,0.24726775956284153,0.2554312047399605,0.007873025441808339,2,0.9863387978142076,0.9822109275730623,0.984274862693635,0.0020639351205726797,0.2278893173225689,0.2108732335355502,0.2196893348787916,0.008502462951236002,1,0.9868534304862755,0.9818898944361176,0.9843716624611966,0.0024817680250789342,0.2630241423125794,0.24726775956284153,0.2554312047399605,0.007873025441808339,2,0.9863387978142076,0.9822109275730623,0.984274862693635,0.0020639351205726797,0.22742497804591802,0.22171456365475134,0.22467315228269613,0.002853334962662773,2,0.9860204602895846,0.9813940624224472,0.9837072613560158,0.002313198933568683,0.3645380242062119,0.38361221043833993,0.37372979795335987,0.009530839398391259,3,0.5192207805589283,0.4341238945036101,0.4766723375312692,0.04254844302765909
4,3,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",8.13206434249878,0.3731424808502197,4.384545564651489,0.6750314235687256,10000.0,linear,True,"{'C': 10000.0, 'kernel': 'linear', 'probability': True}",0.2630241423125794,0.24726775956284153,0.2554312047399605,0.007873025441808339,2,0.9863387978142076,0.9822109275730623,0.984274862693635,0.0020639351205726797,0.2278893173225689,0.2108732335355502,0.2196893348787916,0.008502462951236002,1,0.9868534304862755,0.9818898944361176,0.9843716624611966,0.0024817680250789342,0.2630241423125794,0.24726775956284153,0.2554312047399605,0.007873025441808339,2,0.9863387978142076,0.9822109275730623,0.984274862693635,0.0020639351205726797,0.22742497804591802,0.22171456365475134,0.22467315228269613,0.002853334962662773,2,0.9860204602895846,0.9813940624224472,0.9837072613560158,0.002313198933568683,0.36271572676818725,0.3854503732107952,0.3736714615910898,0.011359869374596621,4,0.527413739975232,0.44319521047643107,0.48530447522583153,0.042109264749400466
