,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg
5,1,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",30.0488520860672,0.1645604372024536,0.356564998626709,0.14887094497680664,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.14664981036662453,0.16758241758241757,0.15668202764976957,0.010457297943318412,2,0.9464285714285714,0.9469026548672567,0.9466656131479141,0.0002370417193426344,0.32869785082174463,0.3543956043956044,0.34101382488479265,0.012837821052366522,1,0.9821428571428571,0.9823008849557522,0.9822218710493047,7.90139064475448e-05,0.2467060841170433,0.2679882843971092,0.256905848306568,0.010631944072887051,1,0.9619145392153634,0.9637378985672286,0.9628262188912959,0.0009116796759325863,0.388912265175343,0.40688421344540693,0.3975255491388759,0.008978242210562795,1,0.9708046846451172,0.9723012612887418,0.9715529729669294,0.0007482883218123404
0,2,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",7.733551025390625,0.5108520984649658,0.3179624080657959,0.01853346824645996,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.13636363636363635,0.13204951856946354,0.13429888084265962,0.0021550831010098857,5,0.15268225584594222,0.13131313131313133,0.1419976935795368,0.010684562266405448,0.29924242424242425,0.3204951856946355,0.3094140882159315,0.010616647305578878,5,0.33837689133425036,0.32196969696969696,0.33017329415197366,0.0082035971822767,0.2283252668258707,0.23557649620864252,0.23179573671479442,0.0036222937457724607,5,0.25702535370968227,0.23656510613824167,0.24679522992396197,0.010230123785720302,0.3722295417044326,0.38129711489883317,0.37656932163354995,0.004529633795539345,5,0.40166772632473297,0.3845878157850778,0.3931277710549054,0.008539955269827593
1,2,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",7.738134384155273,0.49461936950683594,0.411221981048584,0.006929874420166016,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.14267676767676768,0.13480055020632736,0.13890717577353523,0.003934501555185122,2,0.21458046767537828,0.17045454545454544,0.19251750656496186,0.022062961110416418,0.29797979797979796,0.32324621733149933,0.31007241606319946,0.012621638065012826,4,0.48005502063273725,0.43308080808080807,0.4565679143567727,0.023487106275964592,0.2306245279972071,0.23903484106054404,0.2346497403718259,0.004201304744502321,3,0.3451093338754717,0.30387938612475934,0.32449436000011556,0.020614973875356185,0.37389432647207277,0.38336566345805323,0.3784273495061793,0.004731330774052282,4,0.48086472162452587,0.4468636183508368,0.4638641699876813,0.017000551636844524
2,2,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",16.251319646835327,0.9997971057891846,0.8930631875991821,0.06877148151397705,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.12247474747474747,0.14718019257221457,0.13429888084265965,0.012341407855018359,4,0.3204951856946355,0.29797979797979796,0.3092374918372167,0.01125769385741876,0.2815656565656566,0.31911966987620355,0.2995391705069124,0.01875980752541735,6,0.6671251719394773,0.6325757575757576,0.6498504647576174,0.01727470718185986,0.2150693309170526,0.24305310005460581,0.22846248441474923,0.013979068455748126,6,0.476105940728867,0.4510858936775425,0.46359591720320475,0.012510023525662273,0.36096800914255267,0.38568286736040636,0.3727966476707815,0.012346110104154975,6,0.591707572773717,0.5708075822618758,0.5812575775177964,0.010449995255920608
3,2,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",23.786595582962036,1.6752071380615234,0.8529784679412842,0.034429311752319336,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.13636363636363635,0.14030261348005502,0.1382488479262673,0.0019676845704872893,3,0.5845942228335625,0.5454545454545454,0.565024384144054,0.019569838689508567,0.31186868686868685,0.3328748280605227,0.3219223173140224,0.010493450123476085,3,0.8844566712517193,0.8547979797979798,0.8696273255248496,0.01482934572686978,0.23094433273086715,0.2443688450667762,0.23736936266385322,0.006706107958733547,2,0.7140651584319426,0.6771951151094829,0.6956301367707127,0.018435021661229845,0.37410380782279545,0.38794701145545285,0.38072922522960384,0.006915261853275105,2,0.781398856885515,0.7523460980544731,0.766872477469994,0.014526379415520983
4,2,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",30.664018273353577,1.0573562383651733,0.8074955940246582,0.128464937210083,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.1148989898989899,0.14718019257221457,0.130348913759052,0.0161258170686275,6,0.8651994497936726,0.8535353535353535,0.859367401664513,0.005832048129159551,0.3143939393939394,0.3342503438789546,0.3238973008558262,0.009919108330855872,2,0.9711141678129298,0.9772727272727273,0.9741934475428286,0.003079279729898743,0.22063935554228245,0.2469900880643952,0.23325093062034433,0.013163298052348445,4,0.9148901367891581,0.9093056715863733,0.9120979041877657,0.002792232601392386,0.36813609989223606,0.39017193258992594,0.3786825451662456,0.01100782429437072,3,0.9356803623321506,0.9317017681685612,0.9336910652503558,0.001989297081794683
5,2,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",29.656392455101013,1.2719029188156128,0.3026076555252075,0.0985640287399292,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.1414141414141414,0.15818431911966988,0.14944042132982224,0.008377408382991728,1,0.9573590096286108,0.9545454545454546,0.9559522320870326,0.0014067775415780859,0.3194444444444444,0.35488308115543327,0.33640552995391704,0.017703088033859383,1,0.9862448418156808,0.9924242424242424,0.9893345421199616,0.003089700304280796,0.23857968924560402,0.262229826871508,0.24989874787235333,0.011814237432966574,1,0.9710972964067877,0.9720182980599645,0.9715577972333761,0.00046050082658843916,0.38124792227222853,0.40247854530137284,0.39140899070026536,0.01060558823308462,1,0.9779730842414847,0.9789278232664423,0.9784504537539636,0.0004773695124788424
0,3,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",7.415840029716492,0.6000827550888062,0.3781278133392334,0.024506807327270508,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.24681933842239187,0.2305593451568895,0.238973008558262,0.008125046363740058,2,0.2592087312414734,0.22646310432569974,0.2428359177835866,0.01637281345788684,0.3994910941475827,0.4106412005457026,0.4048716260697828,0.0055716586080984155,4,0.45566166439290584,0.42748091603053434,0.4415712902117201,0.01409037418118575,0.3351635830413734,0.33177719208128,0.333529465481302,0.0016921645112169161,2,0.3656415645440285,0.33723872983025843,0.35144014718714345,0.014201417356885043,0.46191890059950297,0.462187085668632,0.4620483144610379,0.00013401088703764193,1,0.49252109052263715,0.4688811143028683,0.4807011024127527,0.011819988109884438
1,3,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",7.214137315750122,0.5979228019714355,0.29150354862213135,0.02355945110321045,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.2430025445292621,0.24965893587994542,0.24621461487820934,0.0033261691721758148,1,0.3042291950886767,0.2913486005089059,0.29778889779879125,0.006440297289885405,0.3893129770992366,0.42701227830832195,0.4075049374588545,0.018838173251540774,3,0.5634379263301501,0.5407124681933843,0.5520751972617672,0.011362729068382926,0.32282319733796844,0.3463898324223576,0.33419537871838795,0.011776142804699316,1,0.4326573997609027,0.4171020437216784,0.4248797217412905,0.007777678019612128,0.4506455316480647,0.47294721796922545,0.4614073065482693,0.01114405353005047,2,0.5526849662347215,0.5389300106972296,0.5458074884659756,0.0068774777687459765
2,3,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",14.291269421577454,1.437714695930481,0.8394280672073364,0.07904255390167236,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.22010178117048346,0.25375170532060026,0.23633969716919026,0.016814717533500043,3,0.4092769440654843,0.3893129770992366,0.39929496058236047,0.009981983483123846,0.3905852417302799,0.42837653478854026,0.4088215931533904,0.018884141169696004,2,0.7462482946793997,0.712468193384224,0.7293582440318118,0.016890050647587862,0.3105935158720263,0.34734987865447664,0.3283304572278763,0.01836699111084357,3,0.557461375769859,0.5331528289925576,0.5453071023812083,0.012154273388650716,0.4416305838758841,0.4725175247242423,0.45653521036821226,0.015434067058283825,3,0.6573816706894978,0.6368536660255278,0.6471176683575128,0.01026400233198499
3,3,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",20.13787567615509,2.176430821418762,0.9011095762252808,0.03813374042510986,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.22264631043256997,0.22100954979536153,0.2218564845292956,0.0008178820154789536,5,0.6221009549795361,0.6145038167938931,0.6183023858867146,0.003798569092821502,0.37659033078880405,0.40791268758526605,0.391705069124424,0.015651642472251627,6,0.9154160982264665,0.8956743002544529,0.9055451992404597,0.009870898986006793,0.310667529663898,0.32120819387861177,0.31575397263255184,0.005267123057847042,6,0.7470390820955239,0.7359416954811833,0.7414903887883536,0.005548693307170338,0.4415457171057759,0.45217585004497163,0.44667533359322187,0.005311830181807718,6,0.807691665768534,0.7984139541975412,0.8030528099830376,0.0046388557854963874
4,3,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",27.42166244983673,1.3295775651931763,0.7259550094604492,0.11252689361572266,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.22391857506361323,0.22510231923601637,0.22448979591836735,0.0005915117015446937,4,0.8744884038199181,0.8994910941475827,0.8869897489837504,0.012501345163832278,0.3982188295165394,0.4120054570259209,0.4048716260697828,0.006889116488811642,4,0.9890859481582538,0.9949109414758269,0.9919984448170404,0.0029124966587865675,0.3178527647441053,0.32748114000639206,0.3224989787449323,0.004811256323183404,4,0.9266268217154986,0.9409472313098269,0.9337870265126628,0.007160204797164171,0.4479452836280338,0.45740803202560754,0.4525115736711026,0.004728493315050456,4,0.9450395517870741,0.9558165079949088,0.9504280298909915,0.005388478103917349
5,3,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",27.108938336372375,1.3710955381393433,0.28516387939453125,0.08265900611877441,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.20229007633587787,0.21691678035470668,0.20934825543120475,0.007308898986682047,6,0.9836289222373806,0.9860050890585241,0.9848170056479524,0.0011880834105717497,0.39567430025445294,0.4324693042291951,0.41342988808426595,0.018386299942882732,1,1.0,1.0,1.0,0.0,0.30744129154497934,0.32823952001540946,0.3174775663763324,0.010392782324481615,5,0.9913597089586177,0.9930025445292621,0.9921811267439399,0.0008214177853221871,0.44124930888955816,0.45934640560677337,0.4499821409459892,0.009043038793160204,5,0.9936006787663227,0.9948348947700839,0.9942177867682034,0.0006171080018805841
0,4,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",6.240217328071594,0.5929995775222778,0.4225109815597534,0.031024813652038574,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.3055198973042362,0.32972972972972975,0.3173140223831468,0.01210092580709215,4,0.327027027027027,0.32220795892169446,0.3246174929743607,0.002409534052666279,0.5173299101412067,0.5432432432432432,0.5299539170506913,0.0129523953644556,1,0.5567567567567567,0.5481386392811296,0.5524476980189432,0.004309058737813565,0.41204577348584487,0.433304388566579,0.42240217582932293,0.010625803571552368,3,0.4467596816596284,0.4338732372846466,0.4403164594721375,0.00644322218749091,0.5313819057973391,0.5495760427906383,0.5402454090067147,0.009094069632970441,2,0.5632998480807684,0.5515285707378258,0.5574142094092971,0.005885638671471294
1,4,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",6.109468340873718,0.7287815809249878,0.3780773878097534,0.035225749015808105,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.3337612323491656,0.32297297297297295,0.3285055957867018,0.005392351504321165,1,0.3783783783783784,0.3722721437740693,0.3753252610762239,0.0030531173021545455,0.5198973042362003,0.5324324324324324,0.5260039499670837,0.00626549798524273,2,0.6621621621621622,0.6405648267008985,0.6513634944315303,0.010798667730631817,0.42474441144236036,0.4304511938025898,0.42752454241442733,0.0028524505549918358,1,0.5080480694886755,0.4977419535168978,0.5028950115027867,0.005153057985888859,0.5397216554106604,0.5461605422323239,0.54285844030074,0.0032183821159854557,1,0.6153213676861736,0.6062596034224942,0.6107904855543339,0.00453088213183972
2,4,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",12.593875050544739,1.841601014137268,0.9306086301803589,0.045348286628723145,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.32734274711168165,0.3256756756756757,0.32653061224489793,0.000833260941574633,2,0.46756756756756757,0.44801026957637996,0.4577889185719738,0.009778648995593803,0.4852374839537869,0.5256756756756756,0.5049374588545096,0.020212430602545454,6,0.7918918918918919,0.7676508344030809,0.7797713631474864,0.012120528744405501,0.4182809250764792,0.42742169011438674,0.42273396400212215,0.0045688758847956465,2,0.6057498749777315,0.5916129352307132,0.5986814051042224,0.00706846987350912,0.5336712013304832,0.5424910845247217,0.5379679186206323,0.0044084878525764365,3,0.6964752415381523,0.6850289508392567,0.6907520961887046,0.005723145349447789
