,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_probability,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg
4,1,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",13.363370895385742,1.7780392169952393,10.505748391151428,0.34695136547088623,1000.0,linear,True,"{'C': 1000.0, 'kernel': 'linear', 'probability': True}",0.21246819338422393,0.23192360163710776,0.2218564845292956,0.009721781030226532,1,0.9522510231923602,0.94529262086514,0.9487718220287501,0.0034792011636101128,0.37659033078880405,0.4092769440654843,0.3923633969716919,0.016333355371685825,2,0.5156889495225102,0.5089058524173028,0.5122974009699065,0.003391548552603707,0.29260013225009285,0.3099371335929881,0.3009661770060785,0.008663222513019611,3,0.4284246776399123,0.4347405966063303,0.4315826371231213,0.0031579594832089886,0.42680033098238934,0.44306439943585807,0.43464862734604476,0.008127082717053797,3,0.5361368437002189,0.5396406150848813,0.5378887293925501,0.001751885692331201
5,1,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",14.044986486434937,2.7589187622070312,10.863848567008972,0.7163015604019165,100000.0,linear,True,"{'C': 100000.0, 'kernel': 'linear', 'probability': True}",0.21246819338422393,0.23192360163710776,0.2218564845292956,0.009721781030226532,1,0.9522510231923602,0.94529262086514,0.9487718220287501,0.0034792011636101128,0.3816793893129771,0.4038199181446112,0.3923633969716919,0.011063523848833063,2,0.5279672578444747,0.5076335877862596,0.5178004228153672,0.01016683502910759,0.2943756907280615,0.31129406952481553,0.30253972736928647,0.008454038687370637,2,0.442332120345094,0.43261155022324693,0.43747183528417044,0.004860285060923536,0.4282310366009171,0.4441357641974108,0.43590593148454443,0.007947521687990974,2,0.5473563175155739,0.5387458846446983,0.5430511010801361,0.0043052164354377975
0,2,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",6.65720009803772,0.07379889488220215,9.97385835647583,0.19414687156677246,1e-05,linear,True,"{'C': 1e-05, 'kernel': 'linear', 'probability': True}",0.09961685823754789,0.10461956521739131,0.10204081632653061,0.002500155841834069,5,0.10461956521739131,0.09961685823754789,0.1021182117274696,0.002501353489921712,0.34227330779054915,0.34646739130434784,0.34430546412113233,0.002096037693275398,6,0.38722826086956524,0.36909323116219667,0.37816074601588096,0.009067514853684289,0.2569092772913469,0.26283640705509265,0.25978114530064045,0.002962145926963997,6,0.3064541252383461,0.280437284199943,0.29344570471914455,0.013008420519201536,0.39694749146063324,0.40323471910298886,0.3999938374413928,0.003142108658834146,6,0.43872026531749525,0.41820036350757545,0.42846031441253535,0.010259950904959902
1,2,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",10.48033082485199,0.6533454656600952,10.1123286485672,0.01782834529876709,0.001,linear,True,"{'C': 0.001, 'kernel': 'linear', 'probability': True}",0.09961685823754789,0.10461956521739131,0.10204081632653061,0.002500155841834069,5,0.10461956521739131,0.09961685823754789,0.1021182117274696,0.002501353489921712,0.3499361430395913,0.35597826086956524,0.35286372613561556,0.003019612431934185,5,0.38858695652173914,0.3831417624521073,0.3858643594869232,0.002722597034815921,0.2539713272437569,0.27410950477199847,0.2637288642159661,0.01006426768427293,5,0.3225025173283488,0.30685433139919716,0.31467842436377297,0.007824092964575813,0.39459347102651837,0.412329472632215,0.40318708339109555,0.008863754803933898,5,0.4491845139018356,0.43774943833409613,0.44346697611796587,0.005717537783869742
2,2,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",9.695725202560425,0.7809629440307617,8.58683693408966,0.8664692640304565,0.1,linear,True,"{'C': 0.1, 'kernel': 'linear', 'probability': True}",0.16347381864623245,0.16304347826086957,0.16326530612244897,0.0002150671691900307,4,0.22282608695652173,0.17879948914431673,0.20081278805041924,0.0220132989061025,0.351213282247765,0.3654891304347826,0.35813034891375906,0.007134506455348191,4,0.41032608695652173,0.39846743295019155,0.40439675995335667,0.005929327003165091,0.26169254363090944,0.27657403265711666,0.26890306102609607,0.0074371818845216636,4,0.3304431323312728,0.31583525810981034,0.3231391952205416,0.00730393711073124,0.4004211116280588,0.41334637987624073,0.4066837827476519,0.006459539814777601,4,0.4535691554632077,0.4396893849500557,0.4466292702066317,0.006939885256575989
3,2,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",11.26762306690216,0.6127701997756958,9.352590322494507,1.4562766551971436,10.0,linear,True,"{'C': 10.0, 'kernel': 'linear', 'probability': True}",0.17879948914431673,0.22418478260869565,0.20078999341672152,0.022681781492601423,1,0.9605978260869565,0.9655172413793104,0.9630575337331335,0.002459707646176923,0.36015325670498083,0.38722826086956524,0.37327188940092165,0.013531020326096753,2,0.5095108695652174,0.4763729246487867,0.4929418971070021,0.016568972458215342,0.2693595046358613,0.2834808319037923,0.2762017013897765,0.007057282988114065,3,0.40894091823765466,0.3928557396964765,0.40089832896706556,0.008042589270589068,0.40845257086774595,0.4212820768361348,0.41466884235736684,0.0064116816003715466,3,0.5212234279598659,0.5078534668176342,0.51453844738875,0.006684980571115828
4,2,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",10.896247386932373,0.23242473602294922,8.39687705039978,0.5785870552062988,1000.0,linear,True,"{'C': 1000.0, 'kernel': 'linear', 'probability': True}",0.17879948914431673,0.22418478260869565,0.20078999341672152,0.022681781492601423,1,0.9605978260869565,0.9655172413793104,0.9630575337331335,0.002459707646176923,0.36398467432950193,0.38858695652173914,0.3759052007899934,0.01229525130958145,1,0.529891304347826,0.4827586206896552,0.5063249625187406,0.02356634182908543,0.27229633247820867,0.29536941924964916,0.2834759189586433,0.011531019688578042,1,0.41185349494057155,0.3976997499741445,0.404776622457358,0.007076872483213537,0.41091623521312826,0.43046532324643616,0.4203883410673183,0.009769863964835488,1,0.5251305383033043,0.5120840021797671,0.5186072702415356,0.006523268061768561
5,2,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",11.348221182823181,1.0468794107437134,9.3630690574646,0.11167788505554199,100000.0,linear,True,"{'C': 100000.0, 'kernel': 'linear', 'probability': True}",0.17879948914431673,0.22418478260869565,0.20078999341672152,0.022681781492601423,1,0.9605978260869565,0.9655172413793104,0.9630575337331335,0.002459707646176923,0.36270753512132825,0.3845108695652174,0.37327188940092165,0.010896447503518899,2,0.5095108695652174,0.45977011494252873,0.48464049225387307,0.02487037731134434,0.27104781076292195,0.2916214877109012,0.28101635996220614,0.010281913135577473,2,0.4076396528782909,0.3905793434710005,0.3991094981746457,0.00853015470364521,0.4101098500113992,0.42730255418216634,0.4184402188525346,0.008592236151879063,2,0.5215088583350329,0.5058729185404802,0.5136908884377566,0.007817969897276345
0,3,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",4.793649792671204,0.5850893259048462,8.81892704963684,0.8309288024902344,1e-05,linear,True,"{'C': 1e-05, 'kernel': 'linear', 'probability': True}",0.12927756653992395,0.13835616438356163,0.1336405529953917,0.00453587352290988,5,0.13835616438356163,0.12927756653992395,0.1338168654617428,0.004539298921818841,0.42712294043092525,0.4246575342465753,0.4259381171823568,0.0012317728824884607,6,0.4986301369863014,0.4512040557667934,0.4749170963765474,0.023713040609753988,0.3493559629508865,0.3710735650274014,0.3597929935735698,0.010850606881875665,6,0.4037161376800753,0.37616927744715245,0.3899427075636139,0.013773430116461427,0.4745540989775597,0.49280135219669957,0.4833233516766855,0.00911674183260935,6,0.521577939752255,0.49594083137859385,0.5087593855654244,0.01281855418683056
1,3,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",7.907925248146057,1.1891504526138306,8.45756220817566,0.45682621002197266,0.001,linear,True,"{'C': 0.001, 'kernel': 'linear', 'probability': True}",0.12927756653992395,0.13835616438356163,0.1336405529953917,0.00453587352290988,5,0.13835616438356163,0.12927756653992395,0.1338168654617428,0.004539298921818841,0.42585551330798477,0.44794520547945205,0.43647136273864384,0.01103651153795802,5,0.510958904109589,0.4664131812420786,0.4886860426758338,0.022272861433755203,0.3536450264036456,0.3782258814629107,0.3654580772221206,0.012281153054041552,5,0.4164266416112811,0.39438489266923704,0.4054057671402591,0.01102087447102204,0.4778060947151466,0.49920277535441787,0.4880888971290163,0.010690267248465442,5,0.5314602963301757,0.5094041838493892,0.5204322400897825,0.011028056240393214
2,3,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",10.784778356552124,0.4584317207336426,8.417992353439331,1.4505388736724854,0.1,linear,True,"{'C': 0.1, 'kernel': 'linear', 'probability': True}",0.27122940430925224,0.2958904109589041,0.28308097432521395,0.012321198607651929,1,0.32054794520547947,0.2965779467680608,0.30856294598677014,0.011984999218709325,0.43599493029150826,0.4506849315068493,0.44305464121132326,0.007339457999108894,4,0.5287671232876713,0.46894803548795944,0.4988575793878154,0.029909543899855923,0.36328013935235254,0.3794239504148956,0.3710385212323106,0.008065814393217791,4,0.4338881396424352,0.3884263866808513,0.41115726316164325,0.022730876480791973,0.4844575482988115,0.49982058439060006,0.4918407058676105,0.007675721498016134,4,0.5419613502545557,0.5020682238858456,0.5220147870702007,0.01994656318435506
3,3,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",11.77186369895935,0.6706898212432861,9.151764988899231,0.04017007350921631,10.0,linear,True,"{'C': 10.0, 'kernel': 'linear', 'probability': True}",0.26108998732572875,0.25616438356164384,0.2587228439763002,0.0024609434279011795,2,0.9821917808219178,0.9835234474017744,0.9828576141118461,0.0006658332899283081,0.45627376425855515,0.4726027397260274,0.4641211323238973,0.008158326732256154,1,0.6356164383561644,0.5804816223067174,0.608049030331441,0.027567408024723516,0.369950890909599,0.39171958890746555,0.3804124771758548,0.010876135563813054,1,0.5054832166633199,0.46833750357722076,0.48691036012027034,0.01857285654304955,0.49129721543668176,0.5115101480615365,0.5010111330246633,0.010098839875112647,1,0.6033358952613718,0.5707432669004986,0.5870395810809352,0.01629631418043659
4,3,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",11.507997393608093,0.35192859172821045,7.995329976081848,0.9473632574081421,1000.0,linear,True,"{'C': 1000.0, 'kernel': 'linear', 'probability': True}",0.26108998732572875,0.25616438356164384,0.2587228439763002,0.0024609434279011795,2,0.9821917808219178,0.9835234474017744,0.9828576141118461,0.0006658332899283081,0.4524714828897338,0.4712328767123288,0.46148782093482554,0.009373618146598636,2,0.6027397260273972,0.5652724968314322,0.5840061114294147,0.018733614597982506,0.3684607793463205,0.39012820675709964,0.37887369706183643,0.010825538480152025,2,0.49098003287595987,0.46150022284067804,0.47624012785831893,0.014739905017640914,0.4900439160285697,0.5100926653031584,0.4996789304923286,0.010016810147152378,2,0.5911403130345209,0.5646481484895877,0.5778942307620543,0.013246082272466597
5,3,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",11.838057518005371,0.9329361915588379,9.62122917175293,0.5504496097564697,100000.0,linear,True,"{'C': 100000.0, 'kernel': 'linear', 'probability': True}",0.26108998732572875,0.25616438356164384,0.2587228439763002,0.0024609434279011795,2,0.9821917808219178,0.9835234474017744,0.9828576141118461,0.0006658332899283081,0.4524714828897338,0.46986301369863015,0.4608294930875576,0.008689203495694853,3,0.6205479452054794,0.5728770595690748,0.596712502387277,0.023835442818202327,0.3657846197588188,0.39193739218327794,0.37835310156912505,0.013066518644608224,3,0.5039569916565433,0.4643653575276927,0.484161174592118,0.019795817064425292,0.48804629561872914,0.511626196108588,0.4993783083623743,0.011781053434342296,3,0.6012285835124761,0.5674981080934806,0.5843633458029783,0.01686523770949777
0,4,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",5.168252110481262,1.0543121099472046,8.060223460197449,0.6684976816177368,1e-05,linear,True,"{'C': 1e-05, 'kernel': 'linear', 'probability': True}",0.27214377406931967,0.2851351351351351,0.2784726793943384,0.0064935392210742765,5,0.2851351351351351,0.27214377406931967,0.2786394546022274,0.006495680532907722,0.5635430038510911,0.5689189189189189,0.5661619486504279,0.0026870714442661465,6,0.6513513513513514,0.6559691912708601,0.6536602713111057,0.002308919959754352,0.44243298470114534,0.4503546515620823,0.4462921245807328,0.00395952773517575,6,0.5174960627131737,0.517382612676741,0.5174393376949573,5.672501821635256e-05,0.5564545239429954,0.564296714435191,0.5602749459075937,0.00391980265056327,6,0.6187552830731768,0.6167650553369479,0.6177601692050624,0.0009951138681144611
1,4,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",8.423687934875488,2.335707664489746,7.439239501953125,0.4251551628112793,0.001,linear,True,"{'C': 0.001, 'kernel': 'linear', 'probability': True}",0.27214377406931967,0.2851351351351351,0.2784726793943384,0.0064935392210742765,5,0.2851351351351351,0.27214377406931967,0.2786394546022274,0.006495680532907722,0.5725288831835686,0.5851351351351352,0.5786701777485188,0.006301048139878105,5,0.6959459459459459,0.6842105263157895,0.6900782361308677,0.005867709815078226,0.4586805948553411,0.4808666843964483,0.4694888280748403,0.011089387929993835,5,0.5477049934225483,0.5415555522919391,0.5446302728572436,0.003074720565304612,0.5687752644132751,0.5876706917753417,0.5779804100669481,0.009444599226589051,5,0.6420929927155061,0.6349705463278398,0.638531769521673,0.003561223193833174
2,4,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",11.37614095211029,0.2493196725845337,7.11942458152771,0.044869422912597656,0.1,linear,True,"{'C': 0.1, 'kernel': 'linear', 'probability': True}",0.3594351732991014,0.3675675675675676,0.36339697169190255,0.004064856705621101,1,0.42702702702702705,0.4159178433889602,0.4214724352079936,0.005554591819033422,0.5686777920410783,0.6040540540540541,0.5859117840684661,0.01768230008484024,4,0.6878378378378378,0.699614890885751,0.6937263643617944,0.005888526523956605,0.46464074030259656,0.4796327548528823,0.47194428919477,0.007493536203944021,4,0.5705502301709567,0.5611008534526959,0.5658255418118263,0.0047246883591304245,0.5732418163492735,0.5869304368013507,0.5799104003746436,0.006842053987850074,4,0.6582286195359766,0.6487854445810156,0.6535070320584961,0.004721587477480471
3,4,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",12.449585437774658,0.022925138473510742,8.70535695552826,0.3834763765335083,10.0,linear,True,"{'C': 10.0, 'kernel': 'linear', 'probability': True}",0.3247753530166881,0.3689189189189189,0.34628044766293614,0.022064506951352345,2,0.9824324324324324,0.9730423620025674,0.9777373972174999,0.004695035214932475,0.5776636713735558,0.6054054054054054,0.5911784068466096,0.01386629446166652,1,0.7283783783783784,0.7150192554557124,0.7216988169170454,0.006679561461332972,0.4620840417245263,0.49145641894164543,0.4763931655827674,0.01468134728218948,2,0.6398355127025944,0.6592407672760616,0.6495381399893281,0.0097026272867336,0.5715394107682168,0.596151373712988,0.5835294387992442,0.0123019247852355,2,0.7120707728309437,0.7235488935919816,0.7178098332114626,0.005739060380518968
