,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__hidden_layer_sizes,param_mlpclassifier__max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
2,2,46.25327932834625,3.585044741630554,0.6077084541320801,0.3666262626647949,80,800,"{'mlpclassifier__hidden_layer_sizes': 80, 'mlpclassifier__max_iter': 800}",0.19325842696629214,0.1658711217183771,0.17997685185185186,0.013687450979337566,1,0.9725536992840096,0.9719101123595506,0.9722319058217801,0.00032179346222949157,0.3752808988764045,0.373508353221957,0.3744212962962963,0.0008858714478940698,2,1.0,1.0,1.0,0.0,0.41977493019068285,0.40979194032051264,0.41493364227910723,0.00498923436381462,2,0.9890891832509383,0.9893386340810602,0.9892139086659992,0.00012472541506092227,0.13026876307213386,0.1321752988459432,0.1311933446568863,0.0009528361665430857,2,0.17637879821054045,0.17354988083077968,0.17496433952066007,0.0014144586898803824,"{'mlpclassifier__hidden_layer_sizes': 80, 'mlpclassifier__max_iter': 800}"
3,2,43.22698724269867,2.84225857257843,0.5188478231430054,0.14679396152496338,100,800,"{'mlpclassifier__hidden_layer_sizes': 100, 'mlpclassifier__max_iter': 800}",0.17865168539325843,0.1730310262529833,0.17592592592592593,0.0028090568151073626,2,0.9725536992840096,0.9719101123595506,0.9722319058217801,0.00032179346222949157,0.39101123595505616,0.38663484486873506,0.3888888888888889,0.0021872045430606974,1,1.0,1.0,1.0,0.0,0.41954537016345556,0.41590010626821095,0.4177775859364793,0.001821806505651303,1,0.9890891832509383,0.9893386340810602,0.9892139086659992,0.00012472541506092227,0.13289447443941826,0.1299236225190879,0.1314537487974988,0.0014847532335985618,1,0.17780204878653563,0.17034439904664622,0.1740732239165909,0.003728824869944705,"{'mlpclassifier__hidden_layer_sizes': 100, 'mlpclassifier__max_iter': 800}"
0,3,76.67299616336823,4.515124440193176,1.0400444269180298,0.16530883312225342,20,800,"{'mlpclassifier__hidden_layer_sizes': 20, 'mlpclassifier__max_iter': 800}",0.1342281879194631,0.145083932853717,0.1394675925925926,0.005424599470008884,4,0.9700239808153477,0.9373601789709173,0.9536920798931325,0.016331900922215203,0.33557046979865773,0.35611510791366907,0.3454861111111111,0.010266124868000515,4,1.0,0.9955257270693513,0.9977628635346756,0.002237136465324363,0.3867096551818804,0.3957762711056606,0.39108555661731603,0.004530574385523957,4,0.9878285592733868,0.972028294991826,0.9799284271326063,0.007900132140780391,0.21444829406238802,0.23443377765320214,0.22409406565656567,0.009986716190476924,4,0.31096642166786054,0.29828665368933827,0.3046265376785994,0.006339883989261136,"{'mlpclassifier__hidden_layer_sizes': 20, 'mlpclassifier__max_iter': 800}"
1,3,73.41465306282043,3.854759454727173,1.228965163230896,0.3090587854385376,40,800,"{'mlpclassifier__hidden_layer_sizes': 40, 'mlpclassifier__max_iter': 800}",0.15659955257270694,0.16906474820143885,0.16261574074074073,0.0062288395693430474,3,0.9712230215827338,0.9496644295302014,0.9604437255564675,0.010779296026266205,0.3523489932885906,0.3764988009592326,0.36400462962962965,0.01206762269050903,3,1.0,0.9977628635346756,0.9988814317673378,0.0011185682326622093,0.39600699329713696,0.41510472067795984,0.4052242992205202,0.00954310574316251,3,0.9882710895448837,0.9782953718272279,0.9832832306860558,0.004987858858827909,0.2236479124901944,0.24327268055685322,0.23311958874458874,0.00980646718379821,3,0.31034769586927863,0.2955179551991632,0.3029328255342209,0.007414870335057722,"{'mlpclassifier__hidden_layer_sizes': 40, 'mlpclassifier__max_iter': 800}"
2,3,62.41520631313324,3.6041101217269897,0.8681927919387817,0.37637221813201904,80,800,"{'mlpclassifier__hidden_layer_sizes': 80, 'mlpclassifier__max_iter': 800}",0.16778523489932887,0.18225419664268586,0.17476851851851852,0.007230118493014073,1,0.9712230215827338,0.9496644295302014,0.9604437255564675,0.010779296026266205,0.37583892617449666,0.39688249400479614,0.38599537037037035,0.010515439298794088,1,1.0,0.9977628635346756,0.9988814317673378,0.0011185682326622093,0.4144237069516171,0.4259309724473813,0.4199775607846422,0.005750163317913662,2,0.9882710895448837,0.9782953718272279,0.9832832306860558,0.004987858858827909,0.22851574227413152,0.25291919710984456,0.24029379860109026,0.012194369798657454,2,0.30793484692765266,0.29854230221679884,0.30323857457222575,0.0046962723554269115,"{'mlpclassifier__hidden_layer_sizes': 80, 'mlpclassifier__max_iter': 800}"
3,3,58.441094636917114,3.2554571628570557,0.5459119081497192,0.26221024990081787,100,800,"{'mlpclassifier__hidden_layer_sizes': 100, 'mlpclassifier__max_iter': 800}",0.17114093959731544,0.17865707434052758,0.17476851851851852,0.003755801263890513,1,0.9712230215827338,0.9496644295302014,0.9604437255564675,0.010779296026266205,0.3691275167785235,0.39568345323741005,0.3819444444444444,0.013269961639013577,2,1.0,0.9977628635346756,0.9988814317673378,0.0011185682326622093,0.41866990942323506,0.42350048691131853,0.42100133397477535,0.0024138323293697865,1,0.9882710895448837,0.9782953718272279,0.9832832306860558,0.004987858858827909,0.23508696746951785,0.2524324696087286,0.24345858134920637,0.008667521416655992,1,0.3051746654624352,0.29889850082803104,0.30203658314523313,0.0031380823172020844,"{'mlpclassifier__hidden_layer_sizes': 100, 'mlpclassifier__max_iter': 800}"
0,4,69.44693207740784,5.895536422729492,1.2742937803268433,0.15194284915924072,20,800,"{'mlpclassifier__hidden_layer_sizes': 20, 'mlpclassifier__max_iter': 800}",0.3363329583802025,0.3468414779499404,0.3414351851851852,0.005252059773071714,4,0.9713945172824792,0.9775028121484814,0.9744486647154803,0.003054147433001142,0.5466816647919011,0.5768772348033373,0.5613425925925926,0.015091463410196617,4,1.0,1.0,1.0,0.0,0.5520492591210686,0.5671617375046568,0.5593868571325445,0.007553075317900271,4,0.9888183493104042,0.9915496797726183,0.9901840145415113,0.0013656652311070383,0.3928809061205012,0.40153560980140246,0.39708304523408694,0.004325539934399235,4,0.4608514310480937,0.4442130610297089,0.4525322460389013,0.008319185009192376,"{'mlpclassifier__hidden_layer_sizes': 20, 'mlpclassifier__max_iter': 800}"
1,4,65.38449001312256,7.360807180404663,1.2125014066696167,0.1006845235824585,40,800,"{'mlpclassifier__hidden_layer_sizes': 40, 'mlpclassifier__max_iter': 800}",0.35883014623172105,0.37187127532777114,0.36516203703703703,0.006517834321595882,3,0.9761620977353993,0.9775028121484814,0.9768324549419404,0.0006703572065410723,0.5635545556805399,0.5983313468414779,0.5804398148148148,0.017381114883096113,3,1.0,1.0,1.0,0.0,0.5673470574525848,0.5853560607726258,0.5760910121895724,0.009000731383960396,3,0.9907339759364896,0.9915496797726182,0.9911418278545538,0.0004078519180643059,0.39566890177688824,0.41731325686629617,0.40617793761022924,0.010817646189338021,3,0.461196667853402,0.44458545766194807,0.45289106275767504,0.008305605095726976,"{'mlpclassifier__hidden_layer_sizes': 40, 'mlpclassifier__max_iter': 800}"
2,4,51.51934731006622,7.109633564949036,0.9028851985931396,0.35839128494262695,80,800,"{'mlpclassifier__hidden_layer_sizes': 80, 'mlpclassifier__max_iter': 800}",0.3610798650168729,0.38855780691299163,0.3744212962962963,0.013733218301748508,2,0.9761620977353993,0.9775028121484814,0.9768324549419404,0.0006703572065410723,0.5793025871766029,0.5840286054827175,0.5815972222222222,0.0023620197371877973,2,1.0,1.0,1.0,0.0,0.5751282095195378,0.5897346969106616,0.5822201325063161,0.007300185753445171,2,0.9907339759364896,0.9915496797726183,0.991141827854554,0.0004078519180643614,0.4043431502880322,0.41736575700818845,0.41066604787958955,0.006508577011402174,2,0.45544345205847,0.4422131486810902,0.44882830036978005,0.0066151516886898964,"{'mlpclassifier__hidden_layer_sizes': 80, 'mlpclassifier__max_iter': 800}"
3,4,44.885727882385254,3.77695369720459,0.6114896535873413,0.2977858781814575,100,800,"{'mlpclassifier__hidden_layer_sizes': 100, 'mlpclassifier__max_iter': 800}",0.3610798650168729,0.39809296781883197,0.37905092592592593,0.01849880252043775,1,0.9749702026221693,0.9775028121484814,0.9762365073853254,0.0012663047631560898,0.5860517435320585,0.5935637663885578,0.5896990740740741,0.003754438748216494,1,1.0,1.0,1.0,0.0,0.5783502616652971,0.6006232305087906,0.5891645098479887,0.011131821462907482,1,0.9902940829133329,0.9915496797726182,0.9909218813429755,0.0006277984296426675,0.40739300444587284,0.41896333503604066,0.4130107749118166,0.0057827429877715,1,0.4581680417318082,0.4454995885254603,0.45183381512863424,0.006334226603173954,"{'mlpclassifier__hidden_layer_sizes': 100, 'mlpclassifier__max_iter': 800}"
0,5,57.85644888877869,4.754622220993042,1.0028407573699951,0.15874004364013672,20,800,"{'mlpclassifier__hidden_layer_sizes': 20, 'mlpclassifier__max_iter': 800}",0.48135593220338985,0.4875444839857651,0.484375,0.0030933617689004682,4,0.9786476868327402,0.9785310734463277,0.978589380139534,5.8306693206222615e-05,0.655367231638418,0.6714116251482799,0.6631944444444444,0.008019826808260511,4,1.0,1.0,1.0,0.0,0.6556111263445181,0.664276168467445,0.6598383430746266,0.004331241132264749,4,0.9917266341817518,0.9919285147619054,0.9918275744718286,0.00010094029007678973,0.5374290361239514,0.5495869472559864,0.5433602392977394,0.006077159698757773,4,0.5991806216717249,0.579489960134028,0.5893352909028764,0.00984533076884847,"{'mlpclassifier__hidden_layer_sizes': 20, 'mlpclassifier__max_iter': 800}"
1,5,51.67769920825958,8.92277729511261,1.134354829788208,0.1325516700744629,40,800,"{'mlpclassifier__hidden_layer_sizes': 40, 'mlpclassifier__max_iter': 800}",0.5005649717514125,0.5029655990510083,0.5017361111111112,0.0011999590487547778,3,0.9786476868327402,0.9785310734463277,0.978589380139534,5.8306693206222615e-05,0.6813559322033899,0.6998813760379596,0.6903935185185185,0.009259985490139367,3,1.0,1.0,1.0,0.0,0.6724557385294576,0.6803900158373455,0.6763264536744515,0.003965966667350832,3,0.9917266341817518,0.9919285147619054,0.9918275744718286,0.00010094029007678973,0.5525551153178272,0.5632198446077449,0.5577578738776655,0.005330789338316304,3,0.5982350962600073,0.5786884828918728,0.5884617895759401,0.009773306684067229,"{'mlpclassifier__hidden_layer_sizes': 40, 'mlpclassifier__max_iter': 800}"
2,5,37.88891267776489,2.748936414718628,0.9058483839035034,0.295146107673645,80,800,"{'mlpclassifier__hidden_layer_sizes': 80, 'mlpclassifier__max_iter': 800}",0.5005649717514125,0.5302491103202847,0.5150462962962963,0.014837684586110018,2,0.9786476868327402,0.9785310734463277,0.978589380139534,5.8306693206222615e-05,0.6847457627118644,0.7247924080664294,0.7042824074074074,0.02001740731415201,1,1.0,1.0,1.0,0.0,0.6759897461344199,0.6982818297773071,0.6868648772171478,0.011142749017052254,2,0.9917266341817518,0.9919285147619054,0.9918275744718286,0.00010094029007678973,0.5520769682295106,0.5685204356734606,0.5600988681457432,0.008219304827364854,2,0.6016149805117776,0.5803303250421894,0.5909726527769835,0.010642327734794121,"{'mlpclassifier__hidden_layer_sizes': 80, 'mlpclassifier__max_iter': 800}"
3,5,32.176056146621704,2.677093029022217,0.6555737257003784,0.393468976020813,100,800,"{'mlpclassifier__hidden_layer_sizes': 100, 'mlpclassifier__max_iter': 800}",0.5175141242937853,0.531435349940688,0.5243055555555556,0.006958556493783921,1,0.9786476868327402,0.9785310734463277,0.978589380139534,5.8306693206222615e-05,0.6994350282485876,0.708185053380783,0.7037037037037037,0.004373720083903485,2,1.0,1.0,1.0,0.0,0.6843317263282387,0.6964755250090656,0.690256044781906,0.006070105557729677,1,0.9917266341817517,0.9919285147619054,0.9918275744718286,0.00010094029007684524,0.555683615819209,0.5657303333281981,0.5605848790484207,0.005021874735500976,1,0.6014349904741364,0.5822523295913126,0.5918436600327245,0.009591330441411916,"{'mlpclassifier__hidden_layer_sizes': 100, 'mlpclassifier__max_iter': 800}"
