id,name,plugin1,plugin2,plugin3,plugin4,plugin5,plugin6
7083,HeadCrush*,0,1,3,10,10,10
7083,DoubleOD**,2,2,6,10,10,10
7083,HotBoxFaze,4,2,0,10,10,10
7083,RabbitHole,0,8,6,10,10,10
7083,TapGuns***,3,6,6,10,10,10
7083,GetWet****,0,8,8,10,10,10
7083,Guitar1&2,2,4,6,10,10,10
7083,Crw.Solo,2,6,7,10,10,10
7083,JAZZ*BED**,8,0,1,10,10,10
7083,Translator,4,1,9,10,10,10
7083,TriDelay**,6,6,6,10,10,10
7083,PurpleRain,4,4,4,10,10,10
7083,FlyReverse,6,4,3,10,10,10
7098,Queens*of,7,2,3,1,4,10
7117,Delay*****,2,6,2,7,10,10
7124,DobleDisto,3,9,0,3,4,4
7144,JohnsonOVR,0,2,1,6,7,4
7166,Slsh-Sweet,2,3,7,0,2,6
7168,[*@****d**,2,3,1,7,8,4
7171,GWiz******,0,2,3,7,7,6
7181,HandjbLead,2,3,0,7,6,10
7199,Hawkwind**,2,3,4,4,1,7
7200,come*asyou,4,4,4,4,1,0
7205,APACHE*HP*,0,3,6,6,6,7
7206,Nirvana***,2,3,0,1,10,10
7210,Koloss*1.0,0,2,3,1,1,10
7217,Nirvana*C*,2,1,0,3,4,1
7218,Buckethead,2,2,3,4,0,0
7220,ACUSTICA**,0,1,8,0,10,10
7227,California,0,2,2,1,1,7
7231,BBB*******,1,1,2,3,0,7
7233,Orion*****,2,3,1,0,0,4
7241,Djenty,0,1,2,3,7,0
7254,Gilmour***,0,9,8,2,3,6
7257,sludge,2,7,3,4,4,4
7271,SpecialDR1,2,4,4,4,4,3
7272,SpecialDR2,0,1,9,3,1,10
7273,SpecialDR3,6,6,2,3,10,10
7274,SpecialDR4,4,4,1,7,10,10
7275,SpecialDR5,9,8,7,7,2,3
7276,SpecialDR6,9,8,2,7,4,10
7277,SpecialDR7,5,1,7,10,10,10
7279,Haruka****,0,0,2,3,7,10
7281,SpecialDR8,0,3,0,3,6,10
7283,SpecialDR9,0,3,4,4,3,0
7286,FingrBass,4,1,1,1,1,3
7287,PhaserLead,4,2,9,3,0,10
7288,WahLeadDRV,9,1,8,3,10,10
7310,Mad*Sounds,0,3,3,4,7,10
7312,Morricone,2,0,3,7,4,7
7313,Talk*Love!,0,2,3,7,6,4
7313,Money4Noth,0,0,9,3,7,10
7313,Volume*Pad,0,4,3,1,6,4
7313,HB*G5*demo,0,3,4,4,10,10
7313,acdc******,0,2,3,7,7,10
7313,Destructio,0,1,2,3,7,6
7313,Metallic**,0,3,4,7,9,10
7313,Mrs.*Clean,3,8,6,3,10,10
7313,J.Hetfield,2,3,4,6,10,10
7313,AH*Chorus*,0,0,3,1,6,4
7313,EntrSandMa,2,3,1,9,9,7
7313,SmokeWatr1,2,2,9,6,3,7
7313,SmokeWatr2,2,2,6,3,7,10
7313,Best*Clean,0,4,3,0,7,10
7313,QueenSTAG*,4,0,3,7,7,10
7313,Nofx*cool&,4,2,2,2,3,0
7313,Nofx*2****,0,2,1,2,3,7
7313,Nofx4*****,9,0,2,2,3,4
7313,Nofx3*****,9,0,2,3,4,7
7313,Deftones**,0,2,3,6,7,7
7313,Clean*Hall,1,7,0,10,10,10
7313,Swt*slash*,2,2,3,4,7,0
7313,SweetChild,9,2,3,7,7,10
7313,Santana***,0,0,1,2,3,7
7313,Revo*2****,9,2,0,3,1,7
7313,Evanesc***,0,9,2,3,4,1
7313,Solo,0,2,1,3,4,7
7313,Maiden****,0,4,2,3,10,10
7313,Crazytrain,2,3,1,0,10,10
7313,Solo1,0,3,6,4,4,7
7313,Arpa*+++**,0,4,4,2,6,10
7313,TeenSpirit,0,2,2,3,4,7
7313,Maiden****,0,4,2,0,3,10
7313,malmsteen*,0,4,2,0,3,6
7313,SatchSumme,0,0,2,9,3,4
7313,ZakkWow***,0,2,9,3,8,10
7313,SilverChai,0,2,2,3,8,10
7313,MachinHead,0,4,3,4,6,7
7313,J.Graydon*,2,3,6,6,10,10
7313,AH*Solo***,0,1,3,1,1,6
7313,S.R.V*****,2,4,3,7,10,10
7313,'70s*V.H**,4,1,3,7,10,10
7313,Pretenders,0,2,6,3,7,10
7313,Prince****,2,4,6,7,0,10
7313,Decadence*,0,4,3,3,7,1
7313,WelcomeToJ,0,3,6,0,7,10
7313,MS*EchoZ**,0,2,3,1,7,10
7313,TalkingZ**,3,0,6,7,10,10
7313,BGN*Chaos*,0,3,6,7,10,10
7314,metlcaEsaD,0,9,0,3,4,10
7314,Cho&Rev***,9,3,6,4,10,10
7314,Fuzz+A.Pan,2,0,3,6,10,10
7314,New*Arp***,0,0,3,6,7,10
7314,Oct-Lead**,0,0,4,3,6,10
7314,Synth-Lead,0,1,3,4,5,6
7314,Rise******,0,3,4,4,6,7
7314,Wah-Lead**,0,9,3,6,7,10
7314,Rich*Clean,0,0,3,4,4,6
7314,BasicTrem*,0,4,3,4,7,10
7314,Clean*Wah*,1,9,3,7,10,10
7314,MS*Love***,3,2,0,6,7,10
7314,BendMod***,0,9,4,3,6,10
7314,Tele*ClnRH,0,0,1,10,10,10
7314,Tele*ClnRW,1,0,4,0,10,10
7314,Str*Cln*LD,0,0,1,4,8,10
7314,Cln*Talker,0,1,1,8,10,10
7314,OldSch*Wah,0,1,7,1,10,10
7314,Tunnel*Ld,0,3,2,8,10,10
7314,Hot*Wet*Ld,1,3,0,6,0,10
7314,Rokin*Wah*,8,2,0,10,10,10
7314,Option*Les,0,7,3,10,10,10
7314,TheSoloist,3,2,6,10,10,10
7314,StadiumFuz,2,7,1,10,10,10
7314,Flip*Tape,0,6,4,8,10,10
7314,FollowMyLD,5,0,2,10,10,10
7314,The*End***,0,5,7,10,10,10
7314,Rude*Talkr,4,2,4,1,10,10
7314,Robot,1,4,7,10,10,10
7314,Talk*Dirt*,0,9,4,3,7,10
7314,ValleyRock,0,4,2,3,6,7
7314,PsychClass,4,3,4,6,10,10
7314,OctReason,4,1,2,7,10,10
7314,CuttingEdg,9,2,3,6,7,10
7314,80's*High*,0,3,8,7,10,10
7314,Organ*Lead,0,5,6,10,10,10
7314,Indie*Trip,1,6,8,3,10,10
7314,MessiahTap,4,6,6,7,10,10
7314,Orion*****,0,9,3,6,10,10
7314,FullBlast*,0,0,9,9,3,6
7315,Chicken***,2,0,2,3,7,7
7315,Honeydrip*,0,2,6,0,10,10
7315,Han*Solo**,0,3,0,7,6,10
7315,Darkness**,0,2,4,7,10,10
7315,Psionic***,2,1,4,3,10,10
7315,Orbital***,2,8,4,0,10,10
7315,Space*Lead,8,6,0,10,10,10
7315,Blue*Glass,3,4,7,6,10,10
7315,The*Nerve*,3,4,4,0,7,0
7315,Rear*View*,2,4,6,0,10,10
