,kfold-test,column,is_test,evaluation,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
2,0,4,False,train,SVC-bag_of_words,3.9302561283111572,0.3457367420196533,8.297570586204529,0.5202594995498657,1.0,linear,"{'C': 1.0, 'kernel': 'linear'}",0.36235595390524966,0.3685636856368564,0.36537195523370636,0.003102621977614431,1,0.9566395663956639,0.9628681177976952,0.9597538420966796,0.003114275701015634,0.30369469705560975,0.3239699436947235,0.3135453435465024,0.01013356062147126,4,0.9571956881337624,0.9612374231297839,0.9592165556317731,0.0020208674980107255,0.36235595390524966,0.3685636856368564,0.36537195523370636,0.003102621977614431,1,0.9566395663956639,0.9628681177976952,0.9597538420966796,0.003114275701015634,0.32316850148328213,0.3411542513437815,0.33190680523380783,0.00898927099522355,1,0.9554136255798843,0.9599454194149457,0.9576795224974151,0.0022658969175307075
3,0,4,False,train,SVC-bag_of_words,4.691846251487732,1.3375924825668335,8.41735303401947,0.09626901149749756,100.0,linear,"{'C': 100.0, 'kernel': 'linear'}",0.34571062740076824,0.34688346883468835,0.34628044766293614,0.0005861857062234066,2,0.983739837398374,0.9833546734955185,0.9835472554469462,0.00019258195142773937,0.3051397508453763,0.3286142628013926,0.31654474743756855,0.011732552219948789,1,0.9844689683379306,0.9800245517274967,0.9822467600327136,0.002222208305216966,0.34571062740076824,0.34688346883468835,0.34628044766293614,0.0005861857062234066,2,0.983739837398374,0.9833546734955185,0.9835472554469462,0.00019258195142773937,0.3196441585998226,0.33500571459226886,0.3271075083841711,0.007677699889937508,2,0.9831264859140944,0.9807192083185046,0.9819228471162995,0.0012036387977948926
4,0,4,False,train,SVC-bag_of_words,4.151100039482117,0.6148043870925903,6.84672224521637,1.3294028043746948,10000.0,linear,"{'C': 10000.0, 'kernel': 'linear'}",0.34571062740076824,0.34688346883468835,0.34628044766293614,0.0005861857062234066,2,0.983739837398374,0.9833546734955185,0.9835472554469462,0.00019258195142773937,0.3051397508453763,0.3286142628013926,0.31654474743756855,0.011732552219948789,1,0.9844689683379306,0.9800245517274967,0.9822467600327136,0.002222208305216966,0.34571062740076824,0.34688346883468835,0.34628044766293614,0.0005861857062234066,2,0.983739837398374,0.9833546734955185,0.9835472554469462,0.00019258195142773937,0.3196441585998226,0.33500571459226886,0.3271075083841711,0.007677699889937508,2,0.9831264859140944,0.9807192083185046,0.9819228471162995,0.0012036387977948926
5,0,4,False,train,SVC-bag_of_words,3.7446141242980957,0.8363161087036133,8.064384818077087,0.42140376567840576,1000000.0,linear,"{'C': 1000000.0, 'kernel': 'linear'}",0.34571062740076824,0.34688346883468835,0.34628044766293614,0.0005861857062234066,2,0.983739837398374,0.9833546734955185,0.9835472554469462,0.00019258195142773937,0.3051397508453763,0.3286142628013926,0.31654474743756855,0.011732552219948789,1,0.9844689683379306,0.9800245517274967,0.9822467600327136,0.002222208305216966,0.34571062740076824,0.34688346883468835,0.34628044766293614,0.0005861857062234066,2,0.983739837398374,0.9833546734955185,0.9835472554469462,0.00019258195142773937,0.3196441585998226,0.33500571459226886,0.3271075083841711,0.007677699889937508,2,0.9831264859140944,0.9807192083185046,0.9819228471162995,0.0012036387977948926
0,0,5,False,train,SVC-bag_of_words,1.205599308013916,0.08687591552734375,5.7571702003479,0.22434544563293457,1e-05,linear,"{'C': 1e-05, 'kernel': 'linear'}",0.46025641025641023,0.4844384303112314,0.4720210664911126,0.012086604845237901,5,0.4844384303112314,0.46025641025641023,0.4723474202838208,0.012091010027410587,0.211835963182117,0.2346805927624098,0.2229499732280922,0.011418153237276098,5,0.2346805927624098,0.211835963182117,0.22325827797226339,0.011422314790146396,0.46025641025641023,0.4844384303112314,0.4720210664911126,0.012086604845237901,5,0.4844384303112314,0.46025641025641023,0.4723474202838208,0.012091010027410587,0.29013529636883456,0.31618770838909904,0.3028099062983773,0.013021460103019147,5,0.31618770838909904,0.29013529636883456,0.3031615023789668,0.01302620601013224
1,0,5,False,train,SVC-bag_of_words,3.5088945627212524,0.11513054370880127,6.334158420562744,1.1921565532684326,0.01,linear,"{'C': 0.01, 'kernel': 'linear'}",0.46025641025641023,0.4844384303112314,0.4720210664911126,0.012086604845237901,5,0.4844384303112314,0.46025641025641023,0.4723474202838208,0.012091010027410587,0.211835963182117,0.2346805927624098,0.2229499732280922,0.011418153237276098,5,0.2346805927624098,0.211835963182117,0.22325827797226339,0.011422314790146396,0.46025641025641023,0.4844384303112314,0.4720210664911126,0.012086604845237901,5,0.4844384303112314,0.46025641025641023,0.4723474202838208,0.012091010027410587,0.29013529636883456,0.31618770838909904,0.3028099062983773,0.013021460103019147,5,0.31618770838909904,0.29013529636883456,0.3031615023789668,0.01302620601013224
2,0,5,False,train,SVC-bag_of_words,5.145246863365173,0.6707090139389038,8.49365782737732,0.3661203384399414,1.0,linear,"{'C': 1.0, 'kernel': 'linear'}",0.5205128205128206,0.5372124492557511,0.5286372613561554,0.008346772239060189,1,0.9783491204330176,0.982051282051282,0.9802002012421498,0.0018510808091322106,0.45544495102734806,0.4980395899242535,0.47616742511873256,0.0212895600824653,4,0.9784962491875061,0.9813497703741606,0.9799230097808334,0.0014267605933272476,0.5205128205128206,0.5372124492557511,0.5286372613561554,0.008346772239060189,1,0.9783491204330176,0.982051282051282,0.9802002012421498,0.0018510808091322106,0.48279608306862043,0.5150295289329585,0.4984777924127586,0.016110851040541954,1,0.9780617738156403,0.9806384987130455,0.9793501362643429,0.001288362448702618
3,0,5,False,train,SVC-bag_of_words,4.458893775939941,0.746412992477417,8.012739300727844,0.4147552251815796,100.0,linear,"{'C': 100.0, 'kernel': 'linear'}",0.5038461538461538,0.530446549391069,0.5167873601053324,0.01329535204046437,2,0.9918809201623816,0.9910256410256411,0.9914532805940113,0.00042763956837027495,0.4529622883451492,0.507438519216756,0.4794652077751146,0.027228191627927688,1,0.9918620322855664,0.9914275937982835,0.9916448130419249,0.00021721924364143108,0.5038461538461538,0.530446549391069,0.5167873601053324,0.01329535204046437,2,0.9918809201623816,0.9910256410256411,0.9914532805940113,0.00042763956837027495,0.4742065317572316,0.5172121722311828,0.49512895987457844,0.0214949859997898,2,0.9917803483200515,0.9903935579971616,0.9910869531586065,0.0006933951614449541
4,0,5,False,train,SVC-bag_of_words,4.496580958366394,0.19702517986297607,6.867910265922546,0.24244630336761475,10000.0,linear,"{'C': 10000.0, 'kernel': 'linear'}",0.5038461538461538,0.530446549391069,0.5167873601053324,0.01329535204046437,2,0.9918809201623816,0.9910256410256411,0.9914532805940113,0.00042763956837027495,0.4529622883451492,0.507438519216756,0.4794652077751146,0.027228191627927688,1,0.9918620322855664,0.9914275937982835,0.9916448130419249,0.00021721924364143108,0.5038461538461538,0.530446549391069,0.5167873601053324,0.01329535204046437,2,0.9918809201623816,0.9910256410256411,0.9914532805940113,0.00042763956837027495,0.4742065317572316,0.5172121722311828,0.49512895987457844,0.0214949859997898,2,0.9917803483200515,0.9903935579971616,0.9910869531586065,0.0006933951614449541
5,0,5,False,train,SVC-bag_of_words,5.224641561508179,1.0527474880218506,7.215581178665161,0.4127376079559326,1000000.0,linear,"{'C': 1000000.0, 'kernel': 'linear'}",0.5038461538461538,0.530446549391069,0.5167873601053324,0.01329535204046437,2,0.9918809201623816,0.9910256410256411,0.9914532805940113,0.00042763956837027495,0.4529622883451492,0.507438519216756,0.4794652077751146,0.027228191627927688,1,0.9918620322855664,0.9914275937982835,0.9916448130419249,0.00021721924364143108,0.5038461538461538,0.530446549391069,0.5167873601053324,0.01329535204046437,2,0.9918809201623816,0.9910256410256411,0.9914532805940113,0.00042763956837027495,0.4742065317572316,0.5172121722311828,0.49512895987457844,0.0214949859997898,2,0.9917803483200515,0.9903935579971616,0.9910869531586065,0.0006933951614449541
