,kfold-test,column,is_test,evaluation,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
2,2,1,False,train,MLP-bag_of_words_gaussian_random_projection,20.171781301498413,1.0286753177642822,0.20272397994995117,0.04918813705444336,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.1415929203539823,0.14697802197802198,0.14417379855167872,0.002690234023745683,4,0.33104395604395603,0.3084702907711757,0.3197571234075659,0.01128683263639016,0.08080119945288888,0.08766152987290714,0.08408909974635385,0.003427213746103042,4,0.26565264414192913,0.2393926734146613,0.2525226587782952,0.013129985363633911,0.1415929203539823,0.14697802197802198,0.14417379855167872,0.002690234023745683,4,0.33104395604395603,0.3084702907711757,0.3197571234075659,0.01128683263639016,0.09717163846748204,0.1066505706867438,0.1017145368582803,0.004735388066067299,4,0.2723497967371272,0.24433668957926674,0.258343243158197,0.014006553578930242
3,2,1,False,train,MLP-bag_of_words_gaussian_random_projection,32.0571014881134,3.6023640632629395,0.12346625328063965,0.008130788803100586,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.14032869785082175,0.14148351648351648,0.14088215931533904,0.0005769124881621624,5,0.5604395604395604,0.561314791403287,0.5608771759214237,0.0004376154818632738,0.10441897290678818,0.11013612687128668,0.1071589913966861,0.0028561173378095998,3,0.5696798660836687,0.5734900081441852,0.571584937113927,0.0019050710302582208,0.14032869785082175,0.14148351648351648,0.14088215931533904,0.0005769124881621624,5,0.5604395604395604,0.561314791403287,0.5608771759214237,0.0004376154818632738,0.11589188717913435,0.12100975024567703,0.1183446879114866,0.002556729716858375,3,0.5491557473071772,0.5413187375531437,0.5452372424301605,0.003918504877016726
4,2,1,False,train,MLP-bag_of_words_gaussian_random_projection,43.44955766201019,1.2150572538375854,0.21461832523345947,0.017898201942443848,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.1390644753476612,0.15521978021978022,0.1468071099407505,0.008070702071237034,3,0.8585164835164835,0.8445006321112516,0.8515085578138675,0.007007925702615936,0.11146581313187778,0.12661736126687606,0.11872738458828248,0.007569255540736743,2,0.8781576327534013,0.8584950095760409,0.8683263211647211,0.009831311588680225,0.1390644753476612,0.15521978021978022,0.1468071099407505,0.008070702071237034,3,0.8585164835164835,0.8445006321112516,0.8515085578138675,0.007007925702615936,0.1198338580600516,0.13717718364064985,0.12814586663324154,0.008664201313033644,2,0.8598406527596193,0.8420944298950249,0.8509675413273221,0.008873111432297187
5,2,1,False,train,MLP-bag_of_words_gaussian_random_projection,40.21140456199646,2.0736687183380127,0.08799278736114502,0.004534125328063965,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.14412136536030343,0.16346153846153846,0.1533903884134299,0.009661765985957953,2,0.9505494505494505,0.9494310998735778,0.9499902752115141,0.0005591753379363684,0.1219804054305859,0.14094028479555903,0.1310671678912182,0.009471782728494063,1,0.969368131868132,0.9719010141086083,0.9706345729883701,0.0012664411202381598,0.14412136536030343,0.16346153846153846,0.1533903884134299,0.009661765985957953,2,0.9505494505494505,0.9494310998735778,0.9499902752115141,0.0005591753379363684,0.12564707310505707,0.14826246385392802,0.1364857857220275,0.011297965739646669,1,0.9547011049241458,0.9543358241903829,0.9545184645572644,0.00018264036688148133
0,2,2,False,train,MLP-bag_of_words_gaussian_random_projection,10.10828959941864,0.4271003007888794,0.05378568172454834,0.02032148838043213,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.12121212121212122,0.12517193947730398,0.12310730743910467,0.0019780955999607595,6,0.15268225584594222,0.125,0.1388411279229711,0.013841127922971111,0.02738972603971512,0.029561394931412802,0.028429096207104338,0.0010848398566696775,6,0.03769201153265641,0.022765999957556664,0.030229005745106535,0.0074630057875498725,0.12121212121212122,0.12517193947730398,0.12310730743910467,0.0019780955999607595,6,0.15268225584594222,0.125,0.1388411279229711,0.013841127922971111,0.044178898591997556,0.04173616601242077,0.04300979616582749,0.0012202475578304381,6,0.05911005845542049,0.037849872946518606,0.048479965700969546,0.010630092754450943
1,2,2,False,train,MLP-bag_of_words_gaussian_random_projection,11.218878865242004,1.1673051118850708,0.09283757209777832,0.004414558410644531,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.12626262626262627,0.13480055020632736,0.130348913759052,0.0042650517409680245,3,0.18982118294360384,0.16666666666666666,0.17824392480513523,0.01157725813846859,0.04666679889130129,0.07123853251775382,0.05842693736821439,0.012274613357199152,5,0.10458248238301117,0.07662784113968454,0.09060516176134786,0.013977320621663313,0.12626262626262627,0.13480055020632736,0.130348913759052,0.0042650517409680245,3,0.18982118294360384,0.16666666666666666,0.17824392480513523,0.01157725813846859,0.0655670334854793,0.07498292149304728,0.0700735183975938,0.004703631679580076,5,0.1088990180570842,0.09378977031481517,0.10134439418594968,0.007554623871134515
2,2,2,False,train,MLP-bag_of_words_gaussian_random_projection,19.96364963054657,1.1230627298355103,0.13052797317504883,0.01263737678527832,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.10606060606060606,0.14580467675378267,0.1250822909809085,0.019853833205921982,5,0.30398899587345257,0.2638888888888889,0.28393894238117073,0.02005005349228184,0.06115814836788157,0.0884239145380108,0.07420766252567218,0.013620395805766145,4,0.24006880153470203,0.21996069004815055,0.23001474579142628,0.010054055743275739,0.10606060606060606,0.14580467675378267,0.1250822909809085,0.019853833205921982,5,0.30398899587345257,0.2638888888888889,0.28393894238117073,0.02005005349228184,0.07440160589735399,0.10467853608016361,0.08889227623501206,0.015124598747758575,4,0.25033785357893673,0.21261255374946858,0.23147520366420266,0.018862649914734075
3,2,2,False,train,MLP-bag_of_words_gaussian_random_projection,33.90376877784729,0.9253616333007812,0.19701099395751953,9.775161743164062e-05,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.10606060606060606,0.15268225584594222,0.1283739302172482,0.02328947293216962,4,0.5694635488308115,0.5328282828282829,0.5511459158295472,0.018317633001264322,0.07642274269820916,0.11541532033541663,0.09508475977671464,0.01947843084958556,3,0.5954381674876705,0.541344203706649,0.5683911855971597,0.027046981890510746,0.10606060606060606,0.15268225584594222,0.1283739302172482,0.02328947293216962,4,0.5694635488308115,0.5328282828282829,0.5511459158295472,0.018317633001264322,0.08511348063773665,0.12901384201091184,0.10612438433641891,0.021930075032106814,3,0.5527197403836142,0.5101844528109787,0.5314520965972964,0.021267643786317736
4,2,2,False,train,MLP-bag_of_words_gaussian_random_projection,42.639180064201355,1.7413991689682007,0.14896774291992188,0.028702735900878906,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.12878787878787878,0.1361760660247593,0.13232389730085584,0.0036907099483478507,2,0.8459422283356258,0.851010101010101,0.8484761646728634,0.0025339363372375856,0.10154970234138772,0.11447569668355617,0.10773613939652694,0.006457077275030183,2,0.8622520730100508,0.8610096351262561,0.8616308540681534,0.0006212189418973724,0.12878787878787878,0.1361760660247593,0.13232389730085584,0.0036907099483478507,2,0.8459422283356258,0.851010101010101,0.8484761646728634,0.0025339363372375856,0.10787492801735223,0.12112630442799062,0.11421709434423447,0.006619619289547813,2,0.845080627752995,0.8494830203457375,0.8472818240493663,0.0022011962963712772
5,2,2,False,train,MLP-bag_of_words_gaussian_random_projection,38.96652436256409,1.1417748928070068,0.09357094764709473,0.03285813331604004,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.13762626262626262,0.14580467675378267,0.14154048716260698,0.004085461482550544,1,0.9573590096286108,0.9570707070707071,0.9572148583496589,0.00014415127895184288,0.11301362866667326,0.12499129443349057,0.1187461915451961,0.005983347306482601,1,0.9769638117403064,0.9713137093904506,0.9741387605653785,0.0028250511749279283,0.13762626262626262,0.14580467675378267,0.14154048716260698,0.004085461482550544,1,0.9573590096286108,0.9570707070707071,0.9572148583496589,0.00014415127895184288,0.11787242549512807,0.13029740782129723,0.12381907602253095,0.0062068007224192695,1,0.9619200705381169,0.9599287051544836,0.9609243878463003,0.0009956826918166573
